"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"18795",3,2,1815,1998,"0","0",-118.069749,34.668143,"2"
"16933",4,3,1759,1998,"0","0",-118.016,34.1322,"2"
"10571",3,2,1178,1972,"0","0",-117.872493,33.989942,"2"
"19523",3,2,2859,1952,"1","0",-118.437314,34.075628,"1"
"15712",2,2,1071,1969,"1","0",-118.383,33.7725,"2"
"16739",3,2,1678,1941,"0","0",-118.326887,34.012374,"2"
"15869",3,3,1148,1979,"1","0",-118.534,34.1781,"2"
"10339",2,1,1588,1940,"0","0",-118.200705,33.8065,"2"
"5829",3,3,1709,1980,"1","0",-118.251786,33.826814,"2"
"13258",2,2,1574,1931,"0","0",-118.418044,34.050531,"2"
"12705",4,2,1512,1944,"0","0",-118.342991,34.018673,"2"
"2655",3,2,1582,1958,"0","0",-118.107926,33.871735,"2"
"4465",2,2,1080,2007,"1","0",-118.237,34.0465,"2"
"19377",4,2,1770,1964,"0","0",-117.756239,34.103962,"2"
"14433",3,3,1658,1931,"0","0",-118.206636,33.882735,"2"
"4704",4,2,1699,1957,"0","0",-118.284762,34.255714,"2"
"8188",3,2,1512,1951,"1","0",-118.341569,33.836446,"1"
"4979",3,3,2761,1935,"1","0",-118.106471,34.136571,"1"
"3679",2,1,910,1963,"0","0",-118.151422,33.905341,"2"
"17088",2,1,828,1939,"0","0",-117.763498,34.052284,"2"
"15038",3,3,1875,1941,"0","0",-118.40291,34.153732,"2"
"15179",2,1,896,1940,"0","0",-118.246463,34.224485,"2"
"4188",3,2,1640,1956,"1","0",-118.546634,34.201977,"2"
"14135",3,3,2748,1952,"1","0",-118.194869,34.180758,"1"
"17273",2,2,1318,1957,"0","0",-118.364244,34.174178,"2"
"18521",4,5,4132,1988,"1","0",-118.408216,34.39768,"1"
"7251",4,4,3933,2007,"0","0",-118.468645,34.045382,"1"
"15760",6,3,3384,1941,"0","0",-118.299946,33.733036,"2"
"9865",2,1,897,1959,"0","0",-118.027087,33.923933,"2"
"15210",3,2,1245,1956,"0","0",-118.007803,34.146096,"2"
"16064",2,1,1291,1953,"0","0",-118.101123,33.829634,"2"
"9716",2,1,836,1977,"0","0",-117.922,34.1461,"2"
"3951",2,1,960,1926,"0","0",-118.370488,34.104632,"1"
"6921",3,3,1626,2015,"0","0",-117.842444,34.597127,"2"
"7779",2,1,1026,1923,"0","0",-118.049041,33.9848,"2"
"9195",4,3,2496,2012,"0","0",-118.183811,34.700226,"2"
"15316",3,3,1447,1979,"0","0",-118.605852,34.216005,"2"
"12103",5,3,2330,1950,"1","0",-118.515977,34.189104,"2"
"15412",4,3,2333,2001,"0","0",-118.191625,34.6143,"2"
"3233",2,1,1138,1920,"0","0",-118.289779,33.992557,"2"
"3957",3,2,1828,1950,"0","0",-118.301124,33.860937,"2"
"15525",1,2,1117,1963,"1","0",-118.344,33.822,"2"
"9319",4,4,2898,1948,"0","0",-117.843958,34.06959,"1"
"11054",4,3,1670,1953,"0","0",-118.356981,33.892363,"2"
"19251",4,3,2222,1927,"0","0",-118.369052,34.098435,"1"
"19933",3,1,1202,1950,"0","0",-118.406554,34.013638,"2"
"10727",1,3,1920,2005,"0","0",-118.428,33.9763,"1"
"7444",2,2,1117,1989,"1","0",-118.512,34.4532,"2"
"19426",3,2,1767,1975,"0","0",-118.380325,33.862204,"2"
"2785",3,2,2023,1954,"1","0",-118.048552,34.151074,"1"
"17328",4,2,3511,1965,"0","0",-118.167939,34.178124,"2"
"16071",2,2,1412,1953,"0","0",-118.092864,33.827899,"2"
"17487",2,1,836,1974,"1","0",-117.923,34.1444,"2"
"12300",3,2,1352,1956,"1","0",-117.974019,34.048239,"2"
"7103",2,1,1054,1939,"0","0",-118.289798,33.942802,"2"
"12840",4,3,1935,1929,"0","0",-118.319845,33.804172,"2"
"17568",4,3,2549,1966,"1","0",-118.546952,34.295583,"2"
"13534",3,1,1098,1954,"0","0",-118.359329,33.855439,"2"
"7131",4,3,3032,1983,"1","0",-117.843774,33.962654,"2"
"14060",5,3,3986,1957,"0","0",-118.553539,34.254704,"2"
"19080",2,1,1273,1935,"0","0",-118.379343,34.047098,"2"
"10756",3,2,1978,1921,"0","0",-118.323571,34.076574,"1"
"6157",4,2,1398,1944,"0","0",-118.402275,33.965605,"1"
"2864",3,2,1416,1961,"0","0",-118.085974,34.02397,"2"
"4389",2,2,1213,1971,"0","0",-118.39,33.8326,"2"
"7930",5,3,3003,1965,"1","0",-117.985003,33.955438,"1"
"11220",2,2,964,1988,"1","0",-118.489,34.4184,"2"
"19018",3,3,1566,1981,"0","0",-118.467,34.2079,"2"
"520",3,2,1350,1963,"0","0",-117.746309,34.10452,"2"
"11735",2,2,1582,1969,"1","0",-118.432183,33.980688,"2"
"17772",2,1,1112,1950,"0","0",-118.416289,34.04185,"2"
"7183",3,1,1250,1947,"0","0",-118.144145,33.86083,"2"
"6357",3,1,1098,1952,"0","0",-118.149211,33.844746,"2"
"14877",2,1,1388,1929,"0","0",-118.195764,33.796264,"2"
"5016",3,1,1312,1950,"0","0",-118.20024,33.913944,"2"
"14712",3,3,1938,1941,"0","0",-118.099082,34.175621,"2"
"5412",4,2,1988,1952,"0","0",-118.32305,33.88584,"2"
"18376",4,4,3936,1923,"0","0",-118.278108,33.995239,"2"
"11959",2,3,990,2007,"0","0",-118.368,34.1673,"2"
"15588",5,2,1893,1966,"0","0",-118.149266,33.890213,"2"
"17954",3,3,1580,1994,"0","0",-117.992983,34.137173,"2"
"12745",2,1,950,1950,"1","0",-118.076377,33.97465,"2"
"877",3,1,888,1950,"0","0",-118.112591,33.904332,"2"
"4251",5,3,2220,1948,"0","0",-118.464725,34.216658,"2"
"386",2,3,1870,2002,"0","0",-118.496,34.0309,"1"
"9996",4,2,1406,1962,"1","0",-117.928583,34.014611,"2"
"10442",4,2,2648,1937,"0","0",-118.196376,33.798355,"2"
"14202",4,2,1552,1953,"0","0",-117.931845,34.065577,"2"
"2843",3,3,1698,1980,"1","0",-118.451,34.2342,"2"
"1805",2,1,908,1949,"0","0",-118.055337,34.115539,"2"
"12897",3,3,1615,1990,"0","0",-117.906506,34.045582,"2"
"7677",3,1,1228,1953,"0","0",-117.943323,34.100828,"2"
"7204",4,3,1661,1987,"0","0",-118.047933,34.569975,"2"
"8660",3,2,2250,1965,"1","0",-118.333589,33.815362,"1"
"14446",4,2,1346,1956,"0","0",-118.493141,34.243675,"2"
"3567",2,1,1591,1925,"0","0",-118.24542,34.161752,"2"
"19894",4,3,1780,1990,"0","0",-118.116224,34.676727,"2"
"1683",4,4,4213,1965,"1","0",-118.055708,34.153123,"2"
"12818",3,2,1461,1968,"0","0",-118.04926,33.872228,"2"
"15052",3,2,2322,1966,"1","0",-118.205637,34.148394,"1"
"16633",4,2,2300,2008,"0","0",-118.293313,33.987753,"2"
"7189",2,1,1332,2001,"0","0",-118.546005,34.460244,"2"
"8744",3,3,1651,1992,"0","0",-118.059503,34.544776,"2"
"4054",3,2,1558,1981,"0","0",-117.948581,34.152797,"2"
"15332",3,2,1521,1956,"0","0",-117.987734,34.1523,"2"
"19434",2,2,1046,1987,"0","0",-118.145,34.155,"2"
"8847",3,2,1322,1926,"0","0",-118.203596,33.888061,"2"
"1817",3,3,3445,1940,"0","0",-118.316715,33.806508,"1"
"12108",3,2,1088,1921,"0","0",-118.194726,34.019955,"2"
"8663",2,2,917,1986,"1","0",-118.604437,34.212982,"2"
"17489",3,2,1867,1955,"0","0",-118.195624,33.913058,"2"
"7870",2,1,901,1941,"0","0",-118.126178,33.928981,"2"
"4964",4,3,2182,1968,"1","0",-117.936376,33.992558,"2"
"18601",4,5,4269,1987,"0","0",-118.370818,33.761604,"1"
"6619",3,3,2384,1960,"0","0",-118.375369,33.983367,"2"
"10538",5,4,3198,1944,"0","0",-118.333828,33.973533,"2"
"5069",3,1,1065,1951,"0","0",-118.447508,34.251445,"2"
"3802",6,5,5028,1932,"1","0",-118.392036,34.083497,"2"
"17823",2,1,844,1947,"0","0",-118.323663,33.87421,"2"
"16631",4,4,2700,1981,"0","0",-118.328896,33.976545,"2"
"3712",3,1,960,1957,"0","0",-117.911076,34.014344,"2"
"18828",3,3,1791,1955,"1","0",-117.9155,34.060145,"2"
"14252",2,1,1344,1907,"0","0",-118.275148,33.99303,"2"
"1048",3,1,1128,1942,"0","0",-118.404645,33.925953,"2"
"17938",3,3,2084,1999,"0","0",-118.795,34.0223,"1"
"16647",2,1,1218,1912,"0","0",-118.237946,34.111104,"2"
"8930",3,2,1653,1965,"0","0",-118.280022,33.81057,"2"
"319",3,2,1604,1959,"0","0",-118.001542,34.075271,"2"
"12052",3,2,1725,1975,"0","0",-118.210093,34.652635,"2"
"10658",4,2,1695,1925,"0","0",-118.449985,33.995842,"2"
"2459",4,3,2470,1960,"1","0",-118.551017,34.243613,"1"
"15836",4,2,1204,1954,"0","0",-118.345984,33.865289,"2"
"15268",3,2,1312,1956,"0","0",-118.321635,33.905863,"2"
"5094",3,3,1923,1941,"0","0",-118.437541,34.050402,"1"
"8766",2,2,1193,1964,"1","0",-118.377,34.0921,"1"
"14473",2,2,1354,1924,"0","0",-118.28615,34.17567,"2"
"16643",3,2,1448,1951,"0","0",-117.915024,34.074399,"2"
"10286",2,1,962,1938,"0","0",-118.155675,33.871152,"2"
"10639",4,2,1499,1956,"0","0",-118.490758,34.255868,"2"
"14805",2,2,1171,1983,"1","0",-118.188,34.0945,"2"
"186",2,2,1054,1973,"0","0",-117.807284,34.099771,"2"
"11141",4,3,2131,1958,"0","0",-118.318422,33.73724,"2"
"18365",2,2,867,1979,"0","0",-118.549,34.3772,"2"
"19300",3,1,1134,1947,"0","0",-118.142992,33.86753,"2"
"2029",3,2,1254,1963,"0","0",-117.948933,34.100596,"2"
"16430",4,2,1528,1998,"0","0",-118.041122,34.560649,"2"
"16887",2,2,2172,1937,"0","0",-118.210365,33.968782,"2"
"4970",4,2,1701,1946,"0","0",-118.198885,33.793606,"2"
"1463",3,2,1084,1979,"1","0",-117.940173,33.990613,"2"
"3977",4,2,1862,1953,"0","0",-118.115599,33.808867,"2"
"587",2,1,720,1954,"0","0",-118.077161,33.879395,"2"
"4184",3,2,1243,1953,"1","0",-118.551143,34.18256,"2"
"3141",3,2,1200,1952,"1","0",-118.338476,33.898923,"2"
"10902",4,3,2302,1990,"0","0",-118.294,33.8232,"2"
"2684",2,1,1128,1950,"0","0",-118.102109,33.953715,"2"
"10678",2,1,956,1903,"0","0",-118.197287,34.044024,"2"
"9369",5,3,2094,1966,"1","0",-118.507513,34.44813,"2"
"837",3,1,1138,1951,"0","0",-118.114997,33.850579,"2"
"18014",4,2,1677,1963,"1","0",-118.564847,34.215337,"2"
"3473",2,1,1356,1953,"0","0",-118.120966,33.798508,"2"
"7583",3,4,2310,1995,"0","0",-118.443513,34.004453,"1"
"18912",4,2,2216,1935,"0","0",-118.366797,34.250929,"1"
"6152",3,1,2324,1900,"0","0",-118.269917,34.052999,"2"
"10846",1,1,618,1924,"0","0",-118.239016,34.116112,"2"
"10022",3,1,1440,1941,"0","0",-118.112925,34.061322,"2"
"1565",3,2,1465,1949,"0","0",-118.357111,33.87019,"2"
"2028",4,2,1086,1954,"0","0",-118.2475,33.88435,"2"
"70",2,2,1296,1971,"1","0",-118.051,34.1286,"2"
"4574",3,1,1051,1943,"0","0",-118.136606,33.8371,"2"
"6147",2,2,1238,1967,"0","0",-118.016714,34.032607,"2"
"6334",3,2,1419,1957,"0","0",-117.99059,33.929347,"2"
"16508",3,1,1064,1944,"0","0",-118.201799,33.815548,"2"
"19762",5,2,1206,1922,"0","0",-118.172944,33.784007,"2"
"13758",2,3,1450,2006,"0","0",-118.424,34.1717,"2"
"11040",4,3,1737,1928,"0","0",-118.311544,34.167859,"2"
"18281",4,3,1706,1991,"0","0",-117.98195,33.909691,"2"
"1174",2,1,1178,1925,"0","0",-117.996602,34.158325,"2"
"5112",4,3,1562,1988,"0","0",-118.096566,34.566068,"2"
"3452",3,3,2065,1985,"1","0",-118.651495,34.211805,"1"
"5714",1,1,634,1989,"0","0",-118.308018,34.190062,"2"
