,bedroomcnt,calculatedbathnbr,calculatedfinishedsquarefeet,yearbuilt,taxvaluedollarcnt,poolcnt,hashottuborspa,Longitude,Latitude
918704,4,2,1625,1948,650314,0,0,-118.109207,34.084134
749947,4,2,1605,2015,541000,0,0,-118.382817,34.209315
2362607,2,2,1140,1939,450408,0,0,-118.415392,33.898817
2121537,2,1,768,1949,193336,0,0,-118.074678,33.926839
1614423,3,2,1735,1924,1248208,1,0,-118.137232,34.115718
1720403,4,5,4395,1964,860761,1,0,-118.38057,34.130578
633808,2,1,704,1937,216450,0,0,-118.128019,33.896386
1017651,4,2,1336,1955,41971,0,0,-117.952179,34.035085
575577,4,3,1579,1985,137884,0,0,-118.043071,34.562792
2553517,2,3,878,1985,523979,0,0,-118.456,33.9885
2191078,2,1,900,1948,40747,0,0,-118.056666,34.088094
2551572,2,1,862,1941,297087,0,0,-118.346774,34.207802
2347629,4,2,1898,1962,81133,0,0,-118.486492,34.247909
2051795,3,2,1659,1955,166847,0,0,-118.272287,33.92052
701849,3,1,1030,1949,338073,0,0,-118.144648,33.916894
644192,2,1,845,1987,230300,0,0,-118.339,33.9591
2403096,3,2,1341,1954,193396,1,0,-118.328389,33.877452
743624,2,1,936,1950,199612,0,0,-118.117938,33.844197
783717,2,1,1095,1947,89116,0,0,-118.196928,33.947377
2472715,4,3,1546,1980,273255,0,0,-118.109,34.0566
2092310,4,5,4328,1913,1125660,1,0,-118.207518,34.217922
1069077,2,1,1508,1910,539720,0,0,-118.202369,34.143202
615166,4,3,1967,1945,649354,0,0,-118.440461,34.152584
2623453,2,2,2125,1971,1650000,1,0,-118.17335,34.155373
2430887,3,2,1986,1924,590108,0,0,-118.502008,34.036105
249732,5,3,3660,1923,556802,0,0,-118.31482,34.039208
2677338,3,3,1516,1973,685293,1,0,-118.140819,34.104593
2338301,6,4,3309,1930,79273,0,0,-118.211867,33.97517
2580511,3,1,1234,1947,286528,0,0,-118.390272,33.973389
2265323,3,3,2362,1939,582921,1,0,-118.416911,34.154516
553736,5,3,2334,1965,634542,1,0,-117.98022,33.992618
1550459,2,2,864,1984,163167,0,0,-117.966,34.0886
1519438,5,2,2331,1921,822379,0,0,-118.354267,34.093212
2537175,4,3,2009,1957,495000,0,0,-118.594101,34.211146
1056580,2,1,864,1929,115784,0,0,-118.201468,33.97543
2707160,2,1,1012,1950,65598,0,0,-118.112846,33.824517
722542,2,3,2471,1940,602525,0,0,-118.377348,34.189285
1944259,2,1,796,1973,159152,0,0,-118.293863,33.812651
836239,3,1,1458,1907,303150,0,0,-118.253473,33.995076
1136942,4,2,1826,1952,554783,0,0,-118.071817,34.09123
1562393,1,1,710,1956,109679,0,0,-118.174,33.769
1223284,4,4,3876,1987,1270574,1,0,-117.83001,33.978393
1276025,1,3,3,1986,175192,0,0,-118.266,33.8274
59507,2,1,1233,1910,162770,0,0,-118.194563,34.114857
779580,3,2,2304,1961,190278,1,0,-118.489939,34.288686
155136,2,2,1025,1985,384885,0,0,-118.336,34.1055
730546,2,3,1676,1980,655782,1,0,-118.389,33.842
2089570,4,2,1403,1982,187312,0,0,-118.171596,34.680996
2360384,3,2,1482,1953,198554,0,0,-118.453758,34.219395
2566403,5,3,2621,2000,315000,1,0,-118.229862,34.65576
977600,3,2,1772,1985,560223,1,0,-117.851493,34.044714
2480627,4,2,1786,2001,268500,0,0,-118.166331,34.586655
2354522,2,1,1326,1932,85256,0,0,-118.054246,34.105928
850269,4,3,2775,1924,465652,0,0,-118.15719,34.116928
1937714,3,3,1733,1958,215037,1,0,-118.621975,34.187772
1286210,1,2,751,1972,354793,0,0,-118.468,34.0574
697019,2,2,1139,1978,107255,1,0,-118.391,34.1879
1427835,4,2,1301,1959,380733,0,0,-117.830792,34.128698
752592,5,3,2821,1962,158391,1,0,-118.546301,34.248555
2263047,4,3,2621,2004,557875,0,0,-118.565527,34.442299
2625728,4,2,1556,1961,324336,0,0,-118.379706,33.790469
55830,3,2,1284,1951,406099,0,0,-118.464011,34.196152
1696464,2,2,814,1905,575759,0,0,-118.255723,34.082084
371626,3,3,1753,1959,133843,0,0,-118.324549,33.876686
278313,4,4,2036,1950,185442,0,0,-118.024989,34.132104
1354229,1,2,885,1971,565000,0,0,-118.388298,34.074652
2214582,4,3,1765,1927,747654,0,0,-118.2485,34.159315
660992,6,3,2896,1924,210323,0,0,-118.159523,33.912913
2027173,3,2,1804,1929,75167,0,0,-117.896345,34.090002
2705733,2,2,1296,1971,62054,1,0,-118.051,34.1286
1111769,3,2,1610,1961,89213,0,0,-118.132603,33.808568
191881,3,1,1276,1950,346902,0,0,-118.540284,34.202677
2079912,2,2,794,1973,104602,1,0,-118.187,33.8214
1659926,4,3,1998,1957,674000,0,0,-117.939869,34.144376
34212,1,1,820,1938,174332,0,0,-118.198552,33.813205
315042,3,2,1666,1950,414130,1,0,-118.516504,34.182341
942521,4,3,1763,1946,182076,0,0,-118.387177,34.183736
1119263,4,3,3106,1986,930000,1,0,-118.772139,34.153574
2352576,2,2,1420,1976,469144,1,0,-118.135415,33.783643
1423839,1,2,1384,1925,218500,0,0,-118.368076,34.106831
1775755,2,3,1420,1988,504000,0,0,-118.562027,34.408555
1270868,4,3,3000,1983,403222,0,0,-118.590635,34.263501
1857684,3,2,1690,1996,216176,0,0,-118.130549,34.611414
1709800,6,3,2913,1954,172362,0,0,-118.1171,34.043763
2208847,4,3,2513,2007,405500,0,0,-118.229145,34.617904
344793,3,2,1289,1973,254916,1,0,-118.390658,34.003381
2161142,3,3,1498,1955,265603,0,0,-118.153655,33.9191
1640672,1,1,685,1961,380947,1,0,-118.425,34.0234
332289,4,2,2029,1906,600285,0,0,-118.208324,34.094165
1809207,3,2,1260,1959,317268,1,0,-117.847437,34.09789
1767839,2,1,1032,1950,275658,0,0,-118.075996,33.972678
279387,3,3,1860,1979,307347,0,0,-118.088972,33.871776
1359312,3,3,1227,1987,324271,0,0,-118.005637,34.066398
309160,4,2,1713,1961,490678,0,0,-117.845767,34.115933
2188202,3,2,1547,1949,366000,1,0,-118.205419,33.917715
985317,3,2,2488,1959,834927,0,0,-118.41273,33.895719
1980851,1,2,1227,1970,80720,1,0,-118.382,33.9863
810717,3,1,1570,1948,194663,1,0,-118.23619,33.884903
2654174,4,3,1846,1948,78724,0,0,-118.00915,34.112848
1720307,3,1,1294,1949,76793,0,0,-118.42418,34.180721
1516548,3,3,2233,1955,156918,1,0,-118.554092,34.245636
1299653,1,1,637,1973,176119,0,0,-118.477,34.0296
2135720,4,3,3126,1980,377469,0,0,-117.912617,33.988509
2053823,2,1,744,1950,145657,0,0,-118.065798,33.913656
484142,3,1,1087,1952,217743,0,0,-118.085012,33.998716
2624259,2,1,972,1941,272598,0,0,-118.192933,33.937668
2540855,4,4,2630,1925,1378308,0,0,-118.146696,34.108103
2706671,4,2,1734,1949,199188,0,0,-118.106555,34.007598
345392,2,2,1050,1985,232287,1,0,-118.239,34.0463
642904,3,2,1046,1950,237762,0,0,-118.442561,34.292906
343728,3,2,1548,1990,138691,0,0,-118.027214,34.571759
1323921,4,5,4092,1948,792788,1,0,-118.638086,34.17683
1900094,5,3,2968,1923,372314,0,0,-118.312105,34.001233
2155924,2,1,935,1950,235473,0,0,-118.515822,34.206617
387469,3,2,1440,1997,403293,0,0,-118.182759,34.134978
469130,2,1,884,1913,262722,0,0,-118.260108,34.134736
171781,3,2,1098,1957,243561,0,0,-117.965072,34.046066
2145430,2,2,1063,1985,225732,1,0,-118.239,34.0463
145549,4,2,1704,1976,301499,1,0,-117.807461,33.997624
1052512,4,3,1787,1957,292028,1,0,-118.558328,34.22698
2242074,3,2,1839,1959,273141,0,0,-118.24313,34.244299
1474415,3,2,1881,1937,59386,0,0,-118.498703,34.203242
887854,4,2,1504,1952,72736,0,0,-118.608111,34.154171
523515,2,2,1298,1966,456384,1,0,-118.34,34.1173
2513298,4,2,1704,1969,48683,0,0,-118.173716,34.038421
210331,2,2,1329,1950,69130,1,0,-118.133873,34.193616
2570579,2,1,889,1950,459215,0,0,-118.145509,33.858161
2580136,3,2,1573,1989,182896,0,0,-118.105276,34.697779
