"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"18795",4,2.5,2160,1971,"1","0",-118.026168,33.818796,"2"
"16933",4,3,2804,2001,"0","0",-117.766173,33.728023,"2"
"10571",5,3,2995,1972,"1","0",-117.931937,33.669632,"2"
"19523",4,2,1458,1964,"0","0",-117.951173,33.676067,"1"
"15712",2,1,866,1969,"0","0",-117.721,33.619,"1"
"16739",3,2.5,2056,1989,"0","0",-117.705201,33.509567,"1"
"15869",4,2,1590,1964,"1","0",-117.891655,33.717002,"1"
"10339",4,3,2190,2000,"0","0",-117.780191,33.825707,"1"
"5829",3,3,2339,1989,"0","0",-117.738964,33.597412,"2"
"13258",4,2.5,2055,1989,"0","0",-117.704908,33.581043,"1"
"12705",2,2.5,1201,2004,"0","0",-117.643714,33.544847,"1"
"2655",4,2,1482,1955,"0","0",-118.011581,33.843403,"1"
"4465",3,2.5,2080,1992,"0","0",-118.002744,33.878701,"1"
"19377",3,2,1264,1960,"0","0",-118.032856,33.726026,"1"
"14433",5,3.5,2652,1997,"0","0",-117.898148,33.63517,"2"
"4704",6,4,2688,1980,"0","0",-117.807653,33.673987,"1"
"8188",4,3,2254,1976,"0","0",-117.798328,33.689877,"2"
"4979",3,2.5,2301,1980,"0","0",-117.652718,33.584163,"2"
"3679",3,1.5,981,1956,"0","0",-117.981886,33.813614,"1"
"17088",2,2,1451,1978,"0","0",-117.786133,33.68093,"2"
"15038",1,1,676,1970,"0","0",-117.882,33.7008,"1"
"15179",2,1,969,1972,"0","0",-117.644031,33.617862,"1"
"4188",4,3,2157,1977,"1","0",-117.768906,33.714412,"1"
"14135",3,2,1242,1959,"0","0",-117.93309,33.731135,"1"
"17273",4,2.5,2116,1964,"1","0",-118.036891,33.760722,"1"
"18521",4,3,2531,1937,"0","0",-117.921407,33.890969,"2"
"7251",4,2.5,2045,1990,"0","1",-117.61933,33.61329,"1"
"15760",3,3,2903,2000,"1","1",-118.006309,33.684416,"2"
"9865",3,2,1923,1955,"0","0",-117.80308,33.764082,"1"
"15210",3,2,1228,1955,"0","0",-117.939452,33.819934,"1"
"16064",4,2.5,1952,1995,"0","0",-117.747538,33.849961,"2"
"9716",3,2,1514,1977,"0","0",-117.714391,33.534323,"1"
"3951",3,1,1200,1946,"1","0",-117.87077,33.71988,"1"
"6921",3,1,1008,1944,"0","0",-118.109778,33.74438,"2"
"7779",2,1.5,1392,1975,"0","0",-118.012112,33.796544,"1"
"9195",1,1,720,1949,"0","0",-117.860199,33.713165,"1"
"15316",4,3,2021,1972,"1","0",-117.961574,33.717645,"2"
