,bedroomcnt,calculatedbathnbr,calculatedfinishedsquarefeet,yearbuilt,taxvaluedollarcnt,poolcnt,hashottuborspa,Longitude,Latitude
855379,4,2,1348,1955,376187,0,0,-117.933012,33.856747
2357110,4,4.5,3548,1992,1602064,1,1,-117.692602,33.497606
1906122,4,2,1635,1969,264097,0,0,-117.954478,33.725822
1715091,2,2.5,1404,1974,324568,0,0,-117.953459,33.740838
1211445,4,3,2592,1976,748411,0,0,-117.785791,33.688238
2328554,3,2,1404,1962,440774,0,1,-117.981511,33.712951
1784738,3,3,1906,1989,698492,0,0,-117.703735,33.561263
283784,4,2.5,1801,1974,106085,1,0,-117.80711,33.721875
1756092,4,2,1689,1965,81404,0,0,-118.021086,33.819745
1498686,2,1,773,1990,194928,0,0,-117.925,33.7498
1457975,2,1.5,1000,1964,246974,0,0,-118.009,33.8232
761658,4,2,1637,1975,380589,0,0,-117.692082,33.598826
2058572,5,3.5,3870,2004,1220000,1,1,-117.604975,33.478872
1864946,3,2,1621,1956,123487,0,0,-117.899362,33.627975
2342523,3,2,1108,1926,275677,0,0,-117.894206,33.917851
1687862,3,1.5,1219,1959,224793,0,0,-117.94368,33.748531
2286990,3,2.5,2452,1974,866422,0,0,-117.736153,33.490716
2439475,2,2,978,1986,174860,0,0,-117.669467,33.657902
1418674,4,2.5,1952,1975,588506,0,1,-117.768043,33.85948
1128752,2,1,659,1948,230417,0,0,-117.926922,33.736803
926011,1,1,729,1998,151767,0,0,-117.905,33.7009
2547779,3,3,2411,1992,791484,0,0,-117.677983,33.508103
2342416,3,2,1443,1965,230423,0,0,-117.862298,33.841883
1497474,3,2,1242,1955,76506,0,0,-117.929397,33.935752
1527839,4,3,2418,2013,755035,0,0,-117.641473,33.490194
664543,4,2,1668,1961,66324,0,0,-117.798667,33.746292
652457,3,3,2649,1976,534487,0,0,-117.691194,33.639365
816915,2,2.5,2301,1995,1231250,0,0,-117.776856,33.729019
856180,4,2,1526,1956,414213,0,0,-118.030429,33.839707
1973892,4,2,1446,1963,286444,0,0,-117.907598,33.739626
2629303,3,3,2756,1990,478158,0,0,-117.631796,33.685208
2520129,3,2,1574,1976,128857,1,0,-117.802845,33.754098
475626,3,2,1320,1968,501083,0,0,-117.669912,33.616231
405256,2,2,1764,1925,577201,0,0,-117.931491,33.872043
828883,3,3,2879,1989,509858,0,0,-117.958662,33.900475
120012,2,1.5,1239,1952,257064,0,0,-117.877718,33.760729
2030267,4,2.5,2045,1991,653153,0,0,-117.618645,33.613524
951564,5,3,3014,1979,495342,0,1,-118.045973,33.844314
612439,3,2.5,1556,1997,512589,0,0,-117.579169,33.597743
2451114,4,2.5,2435,1977,387567,1,0,-117.966611,33.695118
762734,5,4.5,3786,2000,1806434,0,0,-117.809332,33.60383
1294427,2,2,989,1970,168609,0,0,-117.885474,33.706338
351352,3,2,1217,1969,339933,1,1,-118.017218,33.713943
2110288,3,3,2722,1976,832916,1,1,-117.978289,33.680422
1498286,3,2,2378,1974,571168,1,1,-117.685172,33.535157
1430631,2,2,888,1989,228122,0,0,-117.592114,33.645373
311289,3,2.5,2213,1998,519337,0,0,-117.769163,33.749669
1579359,4,2.5,2589,1964,727959,0,0,-117.916906,33.906995
639674,2,2,843,1993,260815,0,0,-117.639444,33.658525
1007246,2,1.5,917,1973,178919,0,0,-117.648577,33.505516
1130185,3,2.5,1428,1989,61285,0,0,-117.590269,33.648133
1431357,3,4,2838,2000,907441,0,0,-117.999516,33.664519
146164,3,2.5,1566,1982,428435,0,0,-117.976731,33.757651
2031358,4,3.5,4976,2006,1625000,1,1,-117.805317,33.904113
1510701,3,1.5,1653,1957,514072,0,0,-117.927087,33.685009
665437,4,3.5,3800,1990,975729,1,1,-117.722758,33.880461
2167559,3,3,2588,2002,754289,0,0,-117.959613,33.882638
2369939,3,2,1555,1986,329508,0,0,-117.748544,33.861769
2643200,3,3,2664,1989,734265,1,1,-117.683403,33.50996
1894379,2,2,972,1968,185681,0,0,-117.885,33.8903
1349403,4,2.5,2145,2003,510725,0,0,-117.644097,33.553315
2301579,3,2,1408,1968,492782,0,0,-118.038064,33.8539
994370,2,2,1130,1988,290161,0,0,-117.712,33.4881
1033272,3,2,2040,1973,408329,0,0,-118.035411,33.770247
790391,3,2.5,2427,2006,687234,0,0,-117.594516,33.481196
393188,5,3.5,4811,1983,1775478,1,0,-117.866509,33.629015
1006541,3,2,1102,1963,135040,0,0,-117.841687,33.842953
2192303,3,2.5,1529,1983,351037,0,0,-117.950694,33.699541
1510539,4,3,2244,1965,331022,1,0,-118.018482,33.710926
1919127,2,1,766,1943,189394,0,0,-117.87741,33.733203
2179436,4,3,3411,1973,146762,1,0,-117.846994,33.767683
2712207,2,3,1588,1989,344997,0,0,-117.718458,33.597294
1824848,3,3,2023,1977,371363,0,0,-117.923284,33.898825
1006174,3,2,1437,1960,414353,0,0,-117.938273,33.826723
583591,4,2.5,2630,1983,1040235,1,1,-117.741604,33.885077
2150507,3,2,1533,1953,440330,0,0,-117.876488,33.771781
2519774,3,2,1549,1962,230272,0,0,-117.822624,33.809313
1348728,3,2.5,1586,1974,234613,1,0,-117.792218,33.695694
1879503,4,3,2276,1976,128167,0,0,-117.768387,33.87045
2150684,2,2,1675,1960,236291,0,0,-117.913386,33.824501
1088534,3,2,1040,1971,111533,0,0,-117.778328,33.692889
1073426,3,2,1854,1959,870000,1,0,-118.083498,33.780372
1496784,3,3,2011,1957,118058,1,0,-117.897666,33.627167
1009281,5,2,2477,1963,418262,1,0,-118.011306,33.771063
2150652,3,2,1331,1955,272647,0,0,-117.943648,33.863886
884654,4,2.5,2897,1969,382475,1,0,-117.664192,33.575365
652915,3,1.5,1261,1963,235000,0,0,-117.903,33.7389
1663154,2,2,1206,1985,197700,0,0,-117.662672,33.558422
1824616,4,2.5,2116,1964,347066,0,0,-118.033695,33.760263
1786703,4,3,2382,1970,289670,0,1,-117.77914,33.694688
2670096,6,3,2340,1939,108293,0,0,-117.913457,33.639089
1783736,3,2,1171,1955,53716,0,0,-118.00944,33.765819
2600303,3,4,3584,1931,338045,0,0,-117.87317,33.770985
66333,2,1.5,1191,1987,218260,0,0,-117.642185,33.646353
1061157,3,2,1499,1957,261932,0,0,-117.8476,33.755541
664446,3,1.5,1451,1952,348477,0,0,-117.926777,33.776363
2235517,3,2.5,1667,2000,434050,0,0,-117.781798,33.66977
420060,2,1.5,1012,1972,385795,0,0,-117.790623,33.848332
1959876,2,1,600,1938,502000,0,0,-117.88219,33.737512
188382,2,2,1642,1964,1066782,0,0,-117.88223,33.633487
282517,6,2,3821,1961,643460,0,0,-117.770513,33.811545
380540,3,2,989,1977,197292,0,0,-117.932,33.8133
1444354,3,2.5,1270,1991,303031,0,0,-117.977,33.7816
1047646,5,3,2761,1996,760833,0,0,-117.883857,33.622749
1810527,5,3.5,3047,1999,1139188,1,0,-117.996916,33.69282
733093,4,2,1596,1965,540525,0,0,-117.927355,33.729357
393151,4,2,2354,1968,266015,0,0,-117.81691,33.721717
2317134,3,2.5,1982,2000,473384,0,0,-117.634676,33.468345
1825021,4,2,2074,1967,583570,1,0,-117.787222,33.885533
1920085,4,3,2690,1958,527930,1,0,-117.901319,33.793835
269888,5,3,2291,1998,684000,0,0,-117.859781,33.873868
774849,4,2,2371,1963,784320,1,0,-117.813174,33.762748
748870,3,2.5,1689,1989,75426,0,0,-117.621681,33.610842
1837933,4,2,1769,1956,532000,0,0,-118.003914,33.838001
2205225,2,1,768,1951,462904,0,0,-117.857366,33.784054
1798690,4,2.5,1752,1987,407238,0,0,-117.589678,33.654197
653302,1,1,600,1969,83280,0,0,-117.859,33.7795
2071956,4,2.5,1788,1999,330948,0,0,-117.818,33.7936
2178957,4,3,2220,1966,573597,0,0,-118.041966,33.854264
695388,4,3,2206,2013,851405,0,0,-117.731032,33.695475
2386197,3,3,1652,2014,655025,0,0,-117.712091,33.697224
1798571,3,3.5,2403,1997,653291,0,0,-117.579562,33.576446
802957,2,2,1000,1990,320541,0,0,-117.61189,33.618194
1990356,3,3,1808,2003,745584,0,0,-117.770548,33.647766
965179,6,3,2422,1955,74358,0,0,-118.03028,33.843306
1429147,3,2,1231,1954,51780,0,0,-117.906139,33.823275
1729485,4,2.5,2277,1990,434244,0,0,-117.728174,33.863983
2247032,4,2,1912,1963,410565,0,0,-117.840045,33.891158
271452,2,2,970,1989,313000,0,0,-117.926,33.7156
2711582,3,2.5,1904,1996,353792,0,0,-117.701558,33.557345
816006,4,2.5,2869,1999,724141,1,1,-117.786257,33.747405
2098562,1,1,812,1987,200001,0,0,-117.682431,33.514914
801183,3,2,2069,1958,113088,0,0,-117.910954,33.659548
2220445,3,2,1818,1968,337404,0,0,-117.821738,33.658397
447926,1,1.5,1224,1957,961802,0,0,-117.768008,33.541321
1608007,2,2,1349,1984,509219,1,0,-117.867586,33.63811
1592910,3,2,1552,1959,298615,0,0,-117.919861,33.939628
1702242,3,2,1089,1972,84993,0,0,-117.879015,33.908162
299979,4,3,2038,2013,694494,0,0,-117.619017,33.525796
134056,4,3,3249,1979,802665,1,0,-117.691513,33.652788
200331,2,2,1200,1953,376630,0,0,-117.88912,33.767634
1769944,2,2.5,1200,1969,314936,1,0,-117.935653,33.709386
1986996,2,1,2381,1951,547220,0,0,-117.894794,33.876438
966967,2,2,1211,1989,392000,0,0,-117.706174,33.630989
747683,2,1,800,1958,464913,0,0,-117.921,33.647
299283,2,2,1351,2004,389613,0,0,-117.603367,33.470003
706790,4,2.5,2016,1971,1475636,0,0,-117.81708,33.631814
2205897,3,2,1300,1966,755000,1,1,-117.952017,33.66105
1470401,3,3.5,4158,1988,935684,1,0,-117.746142,33.832823
913289,3,2,1456,1988,294408,0,0,-117.73058,33.882095
2669099,5,3,2519,1964,492573,0,0,-117.902177,33.675006
652148,3,2,1447,1972,430534,0,0,-117.870115,33.703872
2697198,3,2,1233,1955,68957,0,0,-117.874484,33.878495
2614791,5,2,1982,1964,280660,0,0,-117.950372,33.67937
11741,3,3,2856,1986,796971,0,0,-117.654608,33.576925
1101637,4,2.5,2479,1994,503236,0,0,-117.875599,33.905486
2411607,3,2.5,1580,1995,261399,0,0,-117.623699,33.593794
296820,4,2.5,2277,1974,616079,0,0,-118.03692,33.759838
1619592,5,2,1689,1959,351228,0,0,-117.892195,33.773749
1976205,3,2.5,1476,1995,325926,0,0,-117.780754,33.73937
2028858,5,2,1744,1968,642847,0,0,-117.939681,33.71236
309984,5,2.5,2710,1970,715504,0,0,-117.972996,33.699308
2356141,4,2.5,2218,1965,287801,0,0,-117.826361,33.900931
1171506,2,1,957,1977,201084,0,0,-117.737582,33.629331
2289361,2,1.5,1043,1973,320000,0,0,-117.893474,33.819361
529005,3,2.5,2469,1989,482045,0,0,-117.957809,33.899303
2709896,3,2,1322,1955,250937,0,0,-117.896882,33.851109
1374071,3,2,1510,1954,456000,0,0,-117.956901,33.806095
2276516,5,4.5,4039,2004,1369424,0,0,-117.75799,33.703014
1377071,3,2.5,2959,2011,166257,0,0,-117.782318,33.899007
1825705,3,2.5,2040,1989,670065,0,1,-117.704705,33.556648
2712722,3,2.5,1457,2000,468750,0,0,-117.89698,33.920225
2002643,4,3,2845,1990,520395,1,1,-117.678528,33.575913
611126,5,3,3256,1976,417942,0,0,-117.792307,33.76971
1459351,3,2.5,1895,2012,550779,0,0,-117.810327,33.694907
1210730,3,2,1304,1967,475416,0,0,-118.034849,33.819896
1472249,4,4.5,4613,2003,1886318,1,1,-117.685246,33.581953
516724,2,1.5,1020,1972,302375,0,0,-117.868,33.8461
1798303,2,2,1339,1973,294694,0,0,-117.705415,33.632779
760972,4,2,1665,1963,640622,0,0,-117.850458,33.901736
