"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"18795",4,3,2727,1962,"0","0",-119.204159,34.18281,"1"
"16933",3,2,1435,1977,"0","0",-119.044923,34.219635,"1"
"10571",4,2,1330,1974,"0","0",-118.907513,34.180768,"1"
"19523",3,1,936,1964,"0","0",-119.162081,34.201854,"1"
"15712",5,2.5,2695,1967,"1","0",-118.751816,34.267874,"1"
"16739",4,3,2300,1968,"0","0",-118.844645,34.147049,"1"
"15869",2,1,726,1956,"0","0",-119.167624,34.230211,"1"
"10339",2,2,1940,1980,"0","0",-118.979931,34.225198,"1"
"5829",2,2.5,1463,1989,"0","0",-119.226023,34.265183,"1"
"13258",2,2,1290,1929,"0","0",-119.291682,34.293,"1"
"12705",4,3,2060,1987,"0","0",-118.873418,34.267509,"1"
"2655",3,2,1110,1962,"0","0",-118.666573,34.26863,"1"
"4465",4,2.5,2093,1979,"0","0",-118.780108,34.257329,"1"
"19377",4,2.5,1469,1994,"0","0",-119.159709,34.271934,"1"
"14433",4,2.5,2732,1968,"0","0",-118.709382,34.292397,"1"
"4704",3,2,1454,1979,"0","0",-119.040055,34.22531,"1"
"8188",4,1.5,1227,1961,"0","0",-118.771177,34.276621,"1"
"4979",2,2.5,1361,1980,"0","0",-118.848551,34.179794,"1"
"3679",4,2,1811,1952,"0","0",-118.848793,34.177823,"1"
"17088",3,1.5,1334,1981,"0","0",-119.300853,34.291559,"1"
"15038",3,3.5,1803,2002,"0","0",-119.035355,34.163283,"1"
"15179",3,2,1284,1963,"0","0",-119.206678,34.260558,"1"
"4188",3,1,1012,1927,"0","0",-119.131837,34.228558,"1"
"14135",3,2.5,1801,1987,"0","0",-118.804414,34.247559,"2"
"17273",2,1,777,1989,"0","0",-119.199461,34.27237,"1"
"18521",4,2,1806,1964,"0","0",-118.731088,34.276371,"1"
"7251",4,2.5,3065,1979,"0","0",-118.871932,34.223769,"1"
"15760",3,1,1312,1944,"0","0",-119.306635,34.403606,"2"
"9865",4,2.5,2643,1983,"1","0",-118.903891,34.27614,"1"
"15210",5,4,3978,1998,"1","0",-118.978545,34.157511,"2"
"16064",3,1.5,1510,1968,"1","0",-119.090629,34.350122,"1"
"9716",4,2,1427,1969,"0","0",-118.948975,34.175403,"1"
"3951",4,3.5,3634,1997,"1","0",-118.843564,34.18718,"2"
"6921",2,2,1695,1979,"0","0",-119.444955,34.362,"1"
"7779",3,3,1564,2002,"0","0",-119.034828,34.162799,"1"
"9195",5,4,4258,1997,"0","0",-119.214191,34.294361,"2"
"15316",4,3.5,3084,1991,"0","0",-119.225356,34.161412,"1"
