,bedroomcnt,calculatedbathnbr,calculatedfinishedsquarefeet,yearbuilt,taxvaluedollarcnt,poolcnt,hashottuborspa,Longitude,Latitude
2427147,3,2,1239,1965,495322,0,0,-119.201548,34.461258
2672950,3,3.5,2818,1980,1174000,0,0,-119.24137,34.187832
123112,5,4,4015,2003,904411,0,0,-118.979859,34.179293
464033,2,2,1029,1978,190509,0,0,-119.244688,34.19542
2359579,4,2.5,2868,1969,140049,0,0,-118.88363,34.210641
2318325,3,2.5,2012,1976,514070,1,0,-119.167354,34.295863
1746192,3,2,1228,1952,249341,0,0,-119.158069,34.238
1105134,3,2,1657,1986,586000,0,0,-118.805996,34.247694
2277615,3,1,1697,1910,360748,0,0,-119.184642,34.202552
1433029,4,2,1712,1961,176324,0,0,-118.786358,34.261241
1309715,3,2,1498,1974,371313,0,0,-118.990685,34.221089
1077510,4,2.5,2211,1987,304413,0,0,-119.203666,34.211138
2291657,3,2.5,1672,1979,248852,0,0,-118.915659,34.180486
1542071,3,2,1331,1964,187313,0,0,-118.725299,34.273766
764251,2,2,1319,1976,449755,0,0,-119.229772,34.16934
409585,2,2,1383,1984,398677,0,0,-119.194993,34.189486
54766,4,3.5,4009,1997,884667,0,0,-119.095066,34.233372
2618332,3,2,1101,1973,155267,0,0,-119.167133,34.224451
1310217,4,2.5,1887,1969,557040,0,0,-118.838525,34.191466
1487372,6,2,1470,1965,543904,0,0,-118.74415,34.291359
1214523,4,2.5,1602,1964,479000,0,0,-118.698271,34.294891
1665200,4,2.5,1937,1981,317716,1,0,-118.901806,34.183267
1665212,3,2.5,1332,1988,483000,0,0,-118.807024,34.165475
504701,2,2,1740,1954,156582,0,0,-118.91423,34.405613
2426655,4,3,1705,2007,416087,0,0,-119.172654,34.151748
1171922,4,3,2407,2000,602000,0,0,-118.697549,34.279937
2168990,5,4,2917,1998,751284,0,0,-118.797007,34.232604
478149,5,2.5,2232,1965,446546,0,0,-118.663685,34.274088
1569183,3,2.5,1316,1980,272000,0,0,-119.174702,34.159774
2277693,3,2,1407,1971,291895,0,0,-119.153973,34.177307
1774007,3,2,1414,1972,680000,0,0,-118.822367,34.168659
1064580,2,1,1044,1974,670000,0,0,-118.952525,34.048952
245895,4,2.5,2206,1954,272618,0,0,-119.174143,34.174759
750890,4,3,2454,1961,305251,0,0,-118.783712,34.261943
1963397,3,2.5,1544,2006,431000,0,0,-119.216206,34.266845
2087132,3,2,1613,1966,163134,0,0,-118.868523,34.205082
2509079,5,2,1691,1973,351730,0,0,-119.166613,34.224331
941160,3,2,1129,1984,214206,0,0,-119.022773,34.243723
1350835,5,4.5,4157,1998,875692,0,0,-118.803145,34.23422
2454926,4,3,2150,1977,690763,0,0,-118.887435,34.223672
259159,5,3,2899,1968,624536,0,0,-119.182385,34.270347
2127333,2,2.5,1550,1996,651348,0,0,-119.244,34.4502
272309,3,2.5,2098,2008,605601,0,0,-118.907472,34.171288
723157,4,2,1667,1955,307905,0,0,-119.190726,34.180863
2645717,4,2,2125,1976,174282,0,0,-119.212068,34.182641
1705708,3,3,3123,1996,1182578,1,0,-118.9008,34.246364
190281,4,3.5,3627,2006,811276,0,0,-118.872238,34.298776
2550225,3,2,1534,1982,467618,0,0,-119.21882,34.158306
2482251,4,2,1885,1976,105114,0,0,-118.797413,34.266157
900248,3,1.5,2918,2004,954355,0,0,-119.268699,34.282917
218456,3,2,1653,1977,414000,0,0,-119.047624,34.22124
2399847,2,1,748,1953,369277,0,0,-119.283061,34.438309
1418855,4,3,1554,1950,211395,0,0,-119.074005,34.345912
1691790,2,2,1332,1990,268291,0,0,-119.178575,34.221522
396247,4,3,2123,1996,391980,0,0,-118.834543,34.221003
109162,3,2,1459,1965,156769,0,0,-119.242,34.267
1296342,4,2,1431,1979,271304,0,0,-118.850751,34.295027
2536910,4,2,1534,1961,89190,1,0,-118.850555,34.217073
1636184,4,2.5,2224,2004,482234,0,0,-119.012907,34.233856
1651241,3,2,1507,1977,234366,0,0,-118.871216,34.220948
2495436,3,2.5,1573,1995,443790,0,0,-118.996585,34.227061
586685,3,2,1760,1969,489000,0,0,-119.20046,34.217733
2032951,2,2,1056,1985,145269,0,0,-118.767,34.1822
1733131,1,1,697,1985,134847,0,0,-118.763,34.182
668921,3,2,1297,1961,148722,0,0,-118.744064,34.274184
1473886,4,2.5,2251,1973,153724,1,0,-118.827514,34.171352
2345569,4,2,2312,1959,612981,0,0,-119.275681,34.266377
737038,4,2,1986,1973,427784,0,0,-118.873518,34.217877
28041,3,2,1353,1969,374546,0,0,-118.853119,34.216016
573641,3,2,1625,1983,405395,0,0,-118.862451,34.228817
2086487,3,2.5,2271,2014,456760,0,0,-118.71,34.2761
1649806,3,2.5,1508,2001,345874,0,0,-119.295301,34.305182
545877,5,4,2971,1974,210249,0,0,-119.20312,34.187386
189931,3,2,1492,2003,377967,0,0,-118.926165,34.411576
573485,3,2,1665,1978,183494,0,0,-118.680648,34.280863
777607,2,1,688,1966,84880,0,0,-119.054,34.3636
1760319,4,3,3259,1996,546048,0,0,-118.915078,34.196504
1310057,3,2,1252,1964,393082,0,0,-118.698563,34.292811
1118411,3,2,1375,1964,452514,0,0,-119.176122,34.273866
668325,3,2,1398,1965,59976,0,0,-119.165049,34.276978
1173031,3,1,996,1963,246752,0,0,-119.287374,34.311066
641398,4,2.5,2167,1996,443722,0,0,-119.160217,34.208762
2673202,3,2.5,1415,1985,426222,0,0,-118.725376,34.285524
2549859,2,2,1510,1953,442716,0,0,-119.248086,34.450347
737215,4,1.5,1226,1961,210685,0,0,-118.768422,34.257535
2168823,4,2,2049,1971,223931,0,0,-119.160892,34.160454
231919,4,2,1386,1957,522853,0,0,-119.212111,34.278512
54880,3,2,1225,1972,188794,0,0,-119.206472,34.178486
653848,4,3,2502,2006,680000,0,0,-118.760588,34.290691
1977990,4,3,2459,1970,281060,0,0,-118.842469,34.214796
81825,3,1,1186,1912,280159,0,0,-118.911415,34.400658
191424,4,2.5,2358,1997,358763,0,0,-118.693884,34.282284
1937386,4,2,1806,1968,296624,0,0,-118.750185,34.280221
1336199,5,3,2989,2006,332870,0,0,-118.907891,34.396058
1023039,4,2,1401,1954,183235,0,0,-119.079478,34.339411
2291694,2,1.5,930,1965,247967,0,0,-118.865629,34.184564
2114094,4,3.5,2709,1992,395155,0,0,-118.906814,34.262182
2577348,3,2,1602,1926,543158,0,0,-119.061291,34.369354
2686934,4,2.5,2839,1980,582070,1,0,-118.850049,34.233885
