"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","Longitude","Latitude"
"14478",4,2,1430,1962,121985,"1","0",-117.822926,34.125187
"17104",4,4,2677,2005,248608,"0","0",-118.194301,34.689694
"10904",4,2,2455,1950,354245,"1","0",-118.106279,33.935134
"605",2,3,922,1989,141913,"0","0",-118.379,34.2768
"14923",6,3,2414,1949,847692,"0","0",-118.097062,34.165876
"2264",4,2,2777,1938,88590,"0","0",-118.344381,33.991913
"9986",3,2,1187,1953,180823,"0","0",-118.312132,34.264997
"15446",4,3,1860,1968,127242,"0","0",-118.391139,33.875042
"75",1,1,820,1938,174332,"0","0",-118.198552,33.813205
"11729",3,2,1231,1944,167581,"0","0",-118.414534,34.272126
"13598",2,2,1430,2012,502233,"0","0",-118.131,34.0927
"9473",3,3,1481,1984,398678,"0","0",-117.971,33.9944
"13012",3,2,1236,1950,228121,"0","0",-118.427386,34.255653
"2888",2,1,912,1929,224048,"0","0",-118.230859,34.08914
"14842",3,3,1664,1975,191295,"1","0",-118.341358,34.212197
"19203",3,2,1621,1927,262742,"0","0",-118.425348,34.29513
"393",3,2,1700,1954,79892,"0","0",-118.30266,33.866586
"12302",3,2,1636,1954,211542,"0","0",-118.08708,33.8922
"11917",3,1,1028,1943,185719,"0","0",-118.217899,33.807455
"7696",2,3,1623,1975,677000,"1","0",-118.155399,34.136891
"8784",3,2,1586,1937,410974,"0","0",-118.317977,34.11631
"18494",3,2,1571,1953,190358,"1","0",-117.92812,34.061779
"17908",3,2,934,1984,143238,"1","0",-118.45,34.4218
"17019",3,2,1729,1948,446551,"0","0",-118.307003,33.724787
"3945",4,3,1932,1951,673876,"0","0",-118.416492,34.162424
"2848",4,2,1896,1955,132470,"0","0",-118.494056,34.273148
"3609",3,2,1378,1945,81550,"0","0",-118.31695,34.158399
"8228",3,3,1640,1996,460810,"0","0",-118.152,34.1611
"13961",3,2,1400,1955,240051,"0","0",-118.343248,33.888852
"15237",3,1,1342,1939,45933,"0","0",-118.312242,33.957719
"15059",2,1,905,1947,97419,"0","0",-118.445518,34.027218
"5265",4,3,1508,1991,321013,"0","0",-118.286,34.2528
"15505",1,1,745,1942,78000,"0","0",-118.364216,34.019921
"19109",2,2,1417,1946,255579,"0","0",-118.075984,34.108222
"16954",3,4,2127,1979,365332,"0","0",-118.490874,34.027453
"16835",3,3,1503,2001,297089,"0","0",-118.617942,34.469236
"14349",2,3,1686,1989,1175000,"1","0",-118.437,34.0602
"9795",1,1,1104,1922,26243,"0","0",-118.335522,34.041267
"6577",3,3,1285,1981,138907,"0","0",-117.925,34.099
"12344",2,3,1378,1979,188376,"1","0",-118.513,34.1933
"363",2,2,2076,1958,995020,"1","0",-118.555429,34.046395
"3163",3,3,1793,1988,222000,"0","0",-118.056795,34.55956
"7796",3,3,2003,1966,689000,"1","0",-118.543164,34.298028
"10156",1,2,806,1976,385980,"0","0",-118.39,33.8347
"675",4,3,2207,1967,194934,"0","0",-118.609194,34.247301
"9837",3,3,1747,1973,195569,"1","0",-118.615,34.2548
"947",3,2,1479,1940,40954,"0","0",-118.28416,33.924635
"567",3,3,1419,2002,380484,"0","0",-118.263,34.1514
"1258",3,2,1650,1948,316959,"1","0",-118.406758,34.165674
"9471",3,4,2296,1983,218251,"0","0",-118.388028,33.823824
"154",4,3,2300,1955,757362,"0","0",-118.332348,33.784271
"19895",4,3,1830,1994,350819,"0","0",-118.588,34.2216
"3975",4,4,2271,1937,1635016,"1","0",-118.392554,34.162475
"5166",3,1,836,1908,299267,"0","0",-118.203738,34.0311
"6615",3,2,1900,1951,111988,"0","0",-118.33372,33.838401
"14076",4,2,1813,1978,151716,"0","0",-118.105744,34.692803
"908",3,2,1422,1929,482764,"0","0",-118.360169,34.039558
"14426",3,2,1240,1962,57320,"0","0",-118.078069,33.837022
"16381",3,2,1658,1956,59349,"0","0",-117.951108,34.142893
"6268",1,1,800,1974,66019,"1","0",-118.232,34.1399
"19299",3,2,1876,1979,240752,"0","0",-118.354571,33.874077
"7685",3,2,1502,1942,1239184,"0","0",-118.517474,34.050367
"7748",5,4,2270,1933,397621,"0","0",-117.970172,34.097776
"1401",3,2,1388,2005,316214,"0","0",-118.11719,33.968742
"9009",4,3,1902,1990,227036,"0","0",-118.174747,34.667239
"16458",3,2,1450,1955,321099,"1","0",-118.105547,33.78797
"14095",3,1,992,1940,41588,"0","0",-118.285692,33.944309
"7175",2,3,990,1990,306868,"0","0",-118.015,34.1316
"16730",3,2,1257,1955,48200,"0","0",-117.928613,34.034578
"19332",4,4,3363,1937,598468,"0","0",-118.23371,34.167466
"5764",2,2,1266,1966,253000,"0","0",-118.472497,34.406642
"621",3,2,3548,1978,226389,"0","0",-118.659991,34.473205
"3897",3,3,1877,2007,296465,"1","0",-118.489657,34.397923
"978",3,2,1128,1952,536051,"0","0",-118.365374,33.906619
"5880",3,3,1792,1986,152734,"0","0",-118.127986,34.567989
"12010",3,1,1572,1948,99623,"1","0",-118.408196,34.165673
"13761",2,2,928,1988,146392,"0","0",-118.379,34.1632
"19676",5,3,2228,1991,268000,"0","0",-118.068947,34.548273
"12233",3,2,1234,1951,66017,"0","0",-118.123355,33.855755
"18262",4,2,2212,1978,278570,"0","0",-118.754379,34.157629
"17975",1,1,786,1964,463799,"1","0",-118.377,34.0921
"2193",3,2,2102,1979,196683,"0","0",-118.067541,34.716857
"11267",3,1,1022,1954,30392,"0","0",-118.15754,34.703001
"10693",5,3,2418,1964,294289,"1","0",-118.412641,34.38995
"12935",3,3,1948,1980,187182,"0","0",-117.764536,34.034168
"12127",4,2,1810,1965,484000,"1","0",-118.280529,33.811316
"6393",2,1,756,1907,405927,"0","0",-118.232071,34.123022
"1428",2,1,754,1950,154349,"0","0",-118.363579,33.928563
"12684",3,2,3124,2004,498000,"1","0",-118.206546,34.642765
"14178",2,1,784,1952,57110,"0","0",-118.301143,33.878602
"8516",3,1,1048,1958,52764,"0","0",-118.066486,33.839695
"9635",2,1,1162,1939,64929,"0","0",-118.324569,33.962574
"3870",5,3,1846,1929,175503,"0","0",-118.325825,34.020077
"19378",1,1,1050,2007,350000,"1","0",-118.191,33.7687
"13667",1,1,871,1963,190983,"1","0",-118.251,34.1631
"18664",4,3,2511,1962,776109,"0","0",-118.395556,34.037555
"11997",1,1,918,1978,241499,"0","0",-118.39,33.8428
"6681",4,3,1998,1910,305854,"0","0",-118.166425,33.77707
"15772",3,2,2160,1952,216379,"0","0",-118.429299,34.269222
"6220",3,2,1289,1952,269418,"0","0",-118.441841,34.239409
"11410",3,2,2023,1948,616633,"1","0",-118.039664,34.159072
"12335",3,3,1969,1996,640000,"0","0",-117.833251,34.102625
"16333",1,1,991,1926,756926,"0","0",-118.6299,34.108097
"16435",4,2,1666,1989,199655,"0","0",-118.165918,34.594633
"13383",1,1,680,2004,309623,"1","0",-118.188,33.7663
"19352",3,3,1598,1985,310724,"0","0",-118.471824,34.435486
"10981",2,2,1352,1944,224812,"0","0",-118.043326,33.961465
"12862",3,2,1753,1965,119755,"0","0",-118.511935,34.19181
"17001",4,3,2320,1916,392466,"0","0",-118.283186,33.97956
"10708",5,3,2204,1965,544040,"0","0",-117.804104,34.031042
"10277",4,3,2419,1938,894280,"0","0",-118.408491,34.040626
"16651",3,2,1272,1960,204256,"0","0",-118.411362,34.248645
"455",4,2,1851,1975,219194,"1","0",-118.542002,34.225139
"17978",4,3,2361,2008,379644,"0","0",-117.742832,34.043374
"19533",3,1,1087,1951,114764,"0","0",-118.385689,34.07946
"15970",3,2,1533,1961,373143,"0","0",-118.112469,34.025353
"5806",2,1,1013,1949,206102,"0","0",-118.11671,33.963847
"8114",3,1,912,1958,176734,"0","0",-118.233656,33.935467
"873",3,2,1664,1952,624139,"0","0",-118.498969,34.166079
"10725",2,1,768,1937,194521,"0","0",-118.166177,34.079771
"17403",3,3,2391,1954,519326,"0","0",-117.988785,34.002838
"6071",2,1,1176,1939,176476,"0","0",-118.226976,33.950415
"4434",3,1,1140,1952,368130,"0","0",-117.81226,34.110397
"3677",4,2,1374,1977,348292,"1","0",-118.548,34.1893
"9917",2,2,843,1984,199718,"1","0",-118.449,34.4232
"19397",4,3,3351,1920,206779,"1","0",-118.284377,34.114795
"12813",4,2,2309,1926,514601,"0","0",-118.262165,34.139166
"17103",4,2,1600,1984,273832,"0","0",-118.538709,34.459181
"2288",3,3,2158,1969,1271656,"0","0",-118.492,34.0326
"8254",4,2,1824,1990,229900,"0","0",-118.023879,34.564997
"11169",3,2,1690,1948,1068509,"0","0",-118.43116,34.025119
"7165",3,2,2064,1954,686355,"0","0",-118.030188,34.158292
"7031",3,2,1598,1986,262951,"0","0",-118.666289,34.447855
"6078",3,2,1412,1956,143823,"0","0",-118.330904,33.90864
"2266",3,2,1649,1953,456862,"1","0",-118.479608,34.251419
"13765",2,1,812,1942,253812,"0","0",-118.243556,33.91369
"6431",3,2,1813,1923,83615,"0","0",-118.280982,34.1764
"4719",3,1,999,1944,234014,"0","0",-118.367198,33.918406
"12886",4,4,2107,2014,522852,"0","0",-117.865385,34.132295
"15420",5,3,2856,1954,1083325,"0","0",-118.493093,34.052548
"1086",2,2,864,1924,132064,"0","0",-118.298441,33.978318
"18637",2,1,872,1941,229735,"0","0",-118.177552,33.857196
"8280",3,2,1495,1955,217498,"1","0",-118.54796,34.20202
"11511",2,1,1154,1912,265749,"0","0",-118.143631,34.173817
"2263",3,2,1508,1925,254470,"0","0",-118.259412,33.95858
"19050",3,2,1480,1944,169875,"0","0",-118.209911,33.821609
"8079",1,1,730,1991,64932,"0","0",-118.463,34.234
"2130",4,2,1689,1953,387000,"0","0",-118.179889,34.072639
"19977",3,2,2018,1951,83625,"0","0",-118.092926,34.137093
"1105",3,2,1606,1921,150426,"0","0",-118.099573,34.06399
"12036",4,3,2868,1953,761229,"1","0",-118.044504,34.115916
"7592",3,2,2520,1940,1087311,"1","0",-118.417498,34.020177
"13119",3,4,2702,1978,1863960,"1","0",-118.616814,34.039485
"5443",4,3,1978,2002,705087,"0","0",-118.073113,34.110368
"7739",4,2,1712,1965,326340,"0","0",-118.52663,34.199548
"19245",5,4,3495,1976,1171607,"0","0",-118.788561,34.028282
"12520",4,2,2026,1975,122381,"0","0",-117.776722,34.131222
"9657",2,2,855,1973,181359,"1","0",-118.537,34.2097
"10223",4,2,1831,1928,235485,"0","0",-118.195174,33.961631
"16268",2,2,1323,1980,353237,"1","0",-118.285,33.8325
"3368",2,1,1260,1946,306621,"0","0",-118.147138,34.032335
"1928",2,3,1212,2003,468030,"0","0",-118.331,33.823
"8329",4,2,1588,1925,88593,"0","0",-118.27947,34.106396
"19104",4,4,3567,1996,725344,"1","0",-118.562587,34.288156
"6415",6,5,3928,1924,256724,"0","0",-118.303821,34.003038
"1256",2,1,1396,1911,190362,"0","0",-118.305061,34.015949
"18090",4,2,1420,1957,84656,"0","0",-118.567139,34.247413
"4372",3,3,1729,1954,383389,"0","0",-118.059729,34.096551
"19434",2,2,1046,1987,221439,"0","0",-118.145,34.155
"415",2,2,2106,1932,559025,"1","0",-118.105822,34.16117
