"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"14478",4,2,1430,1962,121985,"1","0",-117.822926,34.125187,"1"
"17104",4,4,2677,2005,248608,"0","0",-118.194301,34.689694,"1"
"10904",4,2,2455,1950,354245,"1","0",-118.106279,33.935134,"1"
"605",2,3,922,1989,141913,"0","0",-118.379,34.2768,"1"
"14923",6,3,2414,1949,847692,"0","0",-118.097062,34.165876,"2"
"2264",4,2,2777,1938,88590,"0","0",-118.344381,33.991913,"1"
"9986",3,2,1187,1953,180823,"0","0",-118.312132,34.264997,"1"
"15446",4,3,1860,1968,127242,"0","0",-118.391139,33.875042,"1"
"75",1,1,820,1938,174332,"0","0",-118.198552,33.813205,"1"
"11729",3,2,1231,1944,167581,"0","0",-118.414534,34.272126,"1"
"13598",2,2,1430,2012,502233,"0","0",-118.131,34.0927,"1"
"9473",3,3,1481,1984,398678,"0","0",-117.971,33.9944,"1"
"13012",3,2,1236,1950,228121,"0","0",-118.427386,34.255653,"1"
"2888",2,1,912,1929,224048,"0","0",-118.230859,34.08914,"1"
"14842",3,3,1664,1975,191295,"1","0",-118.341358,34.212197,"1"
"19203",3,2,1621,1927,262742,"0","0",-118.425348,34.29513,"1"
"393",3,2,1700,1954,79892,"0","0",-118.30266,33.866586,"1"
"12302",3,2,1636,1954,211542,"0","0",-118.08708,33.8922,"1"
"11917",3,1,1028,1943,185719,"0","0",-118.217899,33.807455,"1"
"7696",2,3,1623,1975,677000,"1","0",-118.155399,34.136891,"2"
"8784",3,2,1586,1937,410974,"0","0",-118.317977,34.11631,"1"
"18494",3,2,1571,1953,190358,"1","0",-117.92812,34.061779,"1"
"17908",3,2,934,1984,143238,"1","0",-118.45,34.4218,"1"
"17019",3,2,1729,1948,446551,"0","0",-118.307003,33.724787,"1"
"3945",4,3,1932,1951,673876,"0","0",-118.416492,34.162424,"2"
"2848",4,2,1896,1955,132470,"0","0",-118.494056,34.273148,"1"
"3609",3,2,1378,1945,81550,"0","0",-118.31695,34.158399,"1"
"8228",3,3,1640,1996,460810,"0","0",-118.152,34.1611,"1"
"13961",3,2,1400,1955,240051,"0","0",-118.343248,33.888852,"1"
"15237",3,1,1342,1939,45933,"0","0",-118.312242,33.957719,"1"
"15059",2,1,905,1947,97419,"0","0",-118.445518,34.027218,"1"
"5265",4,3,1508,1991,321013,"0","0",-118.286,34.2528,"1"
"15505",1,1,745,1942,78000,"0","0",-118.364216,34.019921,"1"
"19109",2,2,1417,1946,255579,"0","0",-118.075984,34.108222,"1"
"16954",3,4,2127,1979,365332,"0","0",-118.490874,34.027453,"1"
"16835",3,3,1503,2001,297089,"0","0",-118.617942,34.469236,"1"
"14349",2,3,1686,1989,1175000,"1","0",-118.437,34.0602,"2"
"9795",1,1,1104,1922,26243,"0","0",-118.335522,34.041267,"1"
"6577",3,3,1285,1981,138907,"0","0",-117.925,34.099,"1"
"12344",2,3,1378,1979,188376,"1","0",-118.513,34.1933,"1"
"363",2,2,2076,1958,995020,"1","0",-118.555429,34.046395,"2"
"3163",3,3,1793,1988,222000,"0","0",-118.056795,34.55956,"1"
"7796",3,3,2003,1966,689000,"1","0",-118.543164,34.298028,"2"
"10156",1,2,806,1976,385980,"0","0",-118.39,33.8347,"1"
"675",4,3,2207,1967,194934,"0","0",-118.609194,34.247301,"1"
"9837",3,3,1747,1973,195569,"1","0",-118.615,34.2548,"1"
"947",3,2,1479,1940,40954,"0","0",-118.28416,33.924635,"1"
"567",3,3,1419,2002,380484,"0","0",-118.263,34.1514,"1"
"1258",3,2,1650,1948,316959,"1","0",-118.406758,34.165674,"1"
"9471",3,4,2296,1983,218251,"0","0",-118.388028,33.823824,"1"
"154",4,3,2300,1955,757362,"0","0",-118.332348,33.784271,"2"
"19895",4,3,1830,1994,350819,"0","0",-118.588,34.2216,"1"
"3975",4,4,2271,1937,1635016,"1","0",-118.392554,34.162475,"2"
"5166",3,1,836,1908,299267,"0","0",-118.203738,34.0311,"1"
"6615",3,2,1900,1951,111988,"0","0",-118.33372,33.838401,"1"
"14076",4,2,1813,1978,151716,"0","0",-118.105744,34.692803,"1"
