"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"14478",1,1,725,1929,467015,"0","0",-117.888578,33.753153,"2"
"17104",4,2.5,1808,1993,574720,"0","0",-117.745372,33.853088,"2"
"10904",4,3,2182,2003,6e+05,"0","0",-117.869918,33.843142,"1"
"605",3,1.5,1032,1961,86149,"0","0",-117.971585,33.725124,"2"
"14923",4,3,2190,2000,572128,"0","0",-117.780032,33.826136,"2"
"2264",3,2,1151,1954,245733,"0","0",-117.953801,33.803762,"2"
"9986",2,2,1330,1964,102131,"0","0",-118.033589,33.717109,"2"
"15446",4,2.5,2194,1977,301549,"1","0",-117.685042,33.626445,"2"
"75",4,2.5,2630,1983,1040235,"1","1",-117.741604,33.885077,"1"
"11729",3,2.5,1881,1976,392970,"0","0",-117.854624,33.869058,"2"
"13598",3,2,1452,1975,364363,"0","1",-117.870172,33.891862,"2"
"9473",4,2,1220,1957,53158,"0","0",-117.968783,33.821352,"2"
"13012",1,1.5,755,2014,253710,"0","0",-117.908707,33.829484,"2"
"2888",3,2.5,2265,1991,928676,"0","0",-117.916642,33.626787,"1"
"14842",3,2,1272,1962,575000,"0","0",-118.011813,33.737665,"2"
"19203",3,2,1151,1955,197699,"0","0",-117.900523,33.85122,"2"
"393",4,2,1502,1956,140665,"0","0",-117.950131,33.827867,"2"
"12302",3,1,1534,1919,210542,"0","0",-117.875828,33.742826,"2"
"11917",2,1,994,1932,76040,"0","0",-117.771971,33.539357,"2"
"7696",3,2,1344,1984,169854,"0","0",-117.85958,33.830499,"2"
"8784",5,3,2752,1968,178223,"0","0",-117.691644,33.540048,"2"
"18494",4,2,1658,1950,297964,"0","0",-117.911766,33.875989,"2"
"17908",3,2,1616,1962,311075,"0","0",-117.856569,33.772018,"2"
"17019",1,1,700,1974,71271,"0","0",-117.952501,33.923599,"2"
"3945",3,1,1560,1959,225129,"1","0",-118.007999,33.853349,"2"
"2848",4,2,1500,1960,63112,"0","0",-118.020368,33.765178,"2"
"3609",3,2,1596,1962,507000,"0","1",-117.873779,33.844253,"2"
"8228",3,2,1253,1972,307699,"1","0",-117.741,33.6076,"2"
"13961",2,2.5,1213,1994,614000,"0","0",-117.793537,33.729365,"1"
"15237",4,2,1341,1959,62346,"0","0",-118.002019,33.748837,"2"
"15059",2,3,1477,1987,318218,"0","0",-117.642008,33.643451,"2"
"5265",4,2.5,1418,1965,207065,"0","0",-117.954929,33.653424,"2"
"15505",2,2,1963,1995,396154,"0","0",-117.580446,33.598574,"2"
"19109",1,1,600,1963,33180,"0","0",-117.958099,33.672709,"2"
"16954",3,2,1552,1966,517767,"0","0",-117.961339,33.923983,"2"
"16835",3,2.5,1271,1990,462366,"0","0",-117.718695,33.573525,"2"
"14349",3,2,1217,1958,56451,"0","0",-117.952148,33.824861,"2"
"9795",4,3,2452,1962,702720,"1","1",-117.820349,33.7761,"1"
"6577",2,2,1445,1974,369858,"0","0",-117.767,33.8404,"2"
"12344",3,2,1255,1961,318218,"0","0",-118.033577,33.841071,"2"
"363",2,2,1063,1972,68390,"0","0",-117.978,33.6587,"2"
"3163",3,2,1474,1973,379112,"0","0",-117.939271,33.704306,"2"
"7796",4,3,2298,1969,316953,"1","0",-117.959465,33.656656,"2"
"10156",1,1,701,1982,123368,"0","0",-117.713,33.4676,"2"
"675",3,2.5,1870,1990,483265,"0","0",-117.616223,33.613221,"2"
"9837",2,2,907,1998,245339,"0","0",-117.905,33.7009,"2"
"947",3,2.5,1733,1990,426984,"0","0",-117.893018,33.918916,"2"
"567",2,2,1022,1982,444381,"0","0",-117.714,33.4679,"2"
"1258",3,1.5,1138,1954,440000,"0","0",-117.927189,33.793436,"2"
"9471",3,3,2069,1985,876710,"0","0",-117.798904,33.646057,"1"
"154",5,2,1982,1964,280660,"0","0",-117.950372,33.67937,"2"
"19895",3,2,1353,1961,272792,"0","0",-117.803907,33.741738,"2"
"3975",3,2,1130,1989,316872,"0","0",-118.007,33.8179,"2"
"5166",2,2,693,1985,196544,"0","0",-117.673,33.6231,"2"
"6615",3,2,1120,1977,585076,"0","0",-117.647931,33.646057,"2"
"14076",3,2,1091,1957,193677,"0","0",-117.97029,33.746399,"2"
"908",3,2,1178,1974,270194,"0","0",-117.661709,33.628804,"2"
"14426",2,1.5,1060,1972,497000,"0","0",-117.590908,33.412868,"2"
"16381",4,2,1664,1963,72727,"0","0",-117.848616,33.894222,"2"
"6268",2,2.5,1224,1999,289887,"0","0",-117.752524,33.728635,"2"
"19299",6,3,2750,1967,116951,"1","0",-117.973896,33.737206,"2"
"7685",2,2,912,1985,203904,"0","0",-117.956216,33.789801,"2"
"7748",6,3,2650,1966,490060,"1","0",-117.947615,33.90867,"2"
"1401",1,1,728,2005,3e+05,"0","0",-117.89,33.8043,"2"
"9009",2,2,921,1982,234604,"0","0",-117.798634,33.874169,"2"
"16458",2,1.5,982,1971,115326,"0","0",-117.833083,33.842963,"2"
"14095",3,2.5,2106,1977,248256,"0","0",-117.863642,33.86481,"2"
"7175",3,2,1691,1957,99779,"0","0",-117.972981,33.92786,"2"
"16730",5,3,2488,1996,883000,"0","0",-117.640671,33.589849,"1"
"19332",2,2,1154,1957,74887,"0","0",-118.015761,33.847415,"2"
"5764",3,2.5,2072,1969,342917,"0","0",-117.814322,33.660448,"2"
"621",4,3,2344,1971,668433,"0","1",-117.77558,33.714012,"1"
"3897",2,1,765,1953,36478,"0","0",-117.873731,33.860503,"2"
"978",4,2,1815,1958,517767,"1","0",-117.964039,33.80077,"2"
"5880",3,2,1405,1954,233633,"0","0",-117.911073,33.644635,"2"
"12010",3,2,1921,1972,702000,"0","0",-117.96204,33.716744,"1"
"13761",3,3.5,2062,1978,604841,"1","0",-118.046174,33.711797,"1"
"19676",3,2,1926,1957,91333,"0","0",-117.934196,33.655525,"2"
"12233",3,2,1480,1970,402363,"0","0",-117.774617,33.690773,"2"
"18262",4,2.5,2169,2005,719668,"0","0",-117.890198,33.651982,"1"
"17975",2,2,930,1964,284771,"0","0",-117.898,33.8704,"2"
"2193",2,2,1541,2001,339433,"0","0",-117.777351,33.718314,"2"
"11267",1,1,400,1985,149747,"0","0",-117.672,33.624,"2"
"10693",3,2,1538,1962,154002,"0","0",-117.943266,33.735625,"2"
"12935",4,3,2057,1965,376406,"1","1",-117.687997,33.477024,"2"
"12127",3,2,1312,1974,432000,"0","0",-118.01755,33.795921,"2"
"6393",3,2,1368,1963,272793,"0","0",-117.952253,33.680282,"2"
"1428",3,3.5,4002,1998,1116775,"0","1",-117.777142,33.870493,"1"
"12684",3,2.5,1556,1997,462321,"0","0",-117.579369,33.597178,"2"
"14178",4,2.5,3093,1968,418533,"1","0",-117.91299,33.945894,"2"
"8516",3,1,888,1954,419000,"0","0",-117.9443,33.769018,"2"
"9635",2,1,520,1924,330875,"0","0",-117.858548,33.72064,"2"
"3870",5,3,3219,1974,168308,"0","0",-117.813614,33.823542,"2"
"19378",4,2.5,2301,1974,109570,"0","0",-117.79499,33.709011,"2"
"13667",3,1.5,1323,1956,78033,"1","0",-117.981292,33.813454,"2"
"18664",4,2,1833,2013,554092,"0","0",-117.888031,33.823041,"2"
"11997",3,2.5,2281,1977,267391,"0","0",-118.002411,33.67323,"2"
"6681",3,2.5,2388,1972,722000,"1","0",-118.033797,33.758689,"1"
"15772",4,2,1458,1965,508208,"0","0",-117.946396,33.678955,"2"
"6220",4,2.5,1857,1959,112400,"0","0",-117.930434,33.799592,"2"
"11410",2,1,925,1925,32870,"0","0",-117.88795,33.750299,"2"
"12335",3,3.5,3266,2004,1485455,"0","0",-117.823199,33.626478,"1"
"16333",4,2,1675,1962,160237,"0","0",-117.897114,33.673005,"2"
"16435",2,1,1207,1956,291284,"0","0",-117.794753,33.782165,"2"
"13383",3,2,2067,1994,973402,"1","1",-117.786871,33.742812,"1"
"19352",3,2,1377,1955,364633,"0","0",-117.875279,33.877808,"2"
"10981",3,3,2483,1980,717556,"1","0",-117.700325,33.575361,"1"
"12862",4,3.5,4460,1999,1109490,"1","1",-117.646,33.464603,"1"
"17001",4,4,2624,2007,804987,"0","0",-117.745396,33.695914,"1"
"10708",3,2,1285,1972,427492,"0","0",-117.89922,33.705319,"2"
"10277",3,2.5,1778,1993,476193,"0","0",-117.611762,33.656678,"2"
"16651",4,3,1872,1955,441767,"0","0",-117.983863,33.764049,"2"
"455",3,2,1622,1960,522944,"0","0",-117.811227,33.782951,"2"
"17978",1,1,510,1987,238000,"0","0",-117.588013,33.647478,"2"
"19533",2,1,1092,1972,244038,"0","0",-117.669947,33.53194,"2"
"15970",3,2,1286,1974,104335,"0","0",-117.971996,33.660508,"2"
"5806",3,2.5,1892,1976,336832,"0","0",-117.70065,33.653944,"2"
"8114",3,2,1587,1964,390599,"0","0",-117.837186,33.84105,"2"
"873",3,2,1876,1971,777707,"1","0",-117.716151,33.474761,"1"
"10725",3,2,2008,1963,79715,"0","0",-117.846036,33.800236,"2"
"17403",3,2.5,2036,1993,631675,"0","0",-117.665253,33.685151,"1"
"6071",2,2.5,2004,1990,663555,"0","0",-117.782893,33.742718,"1"
"4434",3,2,1731,1968,196300,"0","1",-117.860243,33.763054,"2"
"3677",3,2,1242,1958,484000,"0","0",-117.921863,33.933815,"2"
"9917",4,3,1378,1996,193982,"0","0",-117.995573,33.765642,"2"
"19397",4,2.5,2722,1967,106044,"0","0",-117.957968,33.733504,"2"
"12813",3,3,2029,1957,356549,"0","0",-118.024024,33.769792,"2"
"17103",3,2.5,1672,1984,234747,"0","0",-117.680482,33.474144,"2"
"2288",4,2,1368,1962,271475,"1","0",-117.982717,33.863812,"2"
"8254",3,1,1541,1937,49179,"0","0",-117.873898,33.730916,"2"
"11169",5,3.5,2811,1998,1044381,"1","1",-117.805418,33.695945,"1"
"7165",3,2.5,2380,2003,794000,"0","0",-117.640586,33.548695,"1"
"7031",4,3,3099,1985,528352,"1","0",-117.774124,33.888816,"2"
"6078",3,2,1578,1969,341325,"0","0",-117.975166,33.717218,"2"
"2266",4,2.5,2084,1970,855000,"1","0",-117.959577,33.667277,"1"
"13765",3,2,1249,1977,309000,"0","0",-117.770854,33.870016,"2"
"6431",3,2,1343,1955,66586,"0","0",-117.892703,33.731343,"2"
"4719",2,1,954,1986,293048,"0","0",-117.625161,33.687396,"2"
"12886",3,2,1242,1955,244253,"0","0",-117.959903,33.930601,"2"
