"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"14478",2,2,1153,1986,228361,"0","0",-118.805536,34.16338,"1"
"17104",3,3,2037,1995,335002,"0","0",-119.188796,34.281896,"1"
"10904",2,1,752,1949,122645,"0","0",-119.174034,34.170659,"1"
"605",3,2.5,1723,1985,342659,"0","0",-119.199794,34.265168,"1"
"14923",4,3.5,2982,1998,548275,"0","0",-118.795345,34.251125,"2"
"2264",4,1,1334,1949,247355,"0","0",-119.207608,34.255204,"1"
"9986",3,1,999,1955,175455,"0","0",-119.168265,34.201715,"1"
"15446",3,2,1770,1961,301254,"0","0",-118.863615,34.226658,"1"
"75",3,2,1665,1978,183494,"0","0",-118.680648,34.280863,"1"
"11729",3,2.5,3256,2005,1535945,"0","0",-119.228432,34.186657,"2"
"13598",2,2.5,1539,1986,318693,"0","0",-118.818151,34.247562,"1"
"9473",5,4.5,3699,2000,1222000,"0","0",-118.757056,34.190831,"2"
"13012",4,4,3685,1989,810367,"0","0",-118.968373,34.23919,"2"
"2888",3,2,1324,1983,198105,"0","0",-118.689239,34.271203,"1"
"14842",4,2.5,2531,1977,433608,"1","0",-118.84117,34.227623,"1"
"19203",4,2,1353,1956,54797,"0","0",-119.238083,34.269134,"1"
"393",4,3.5,3622,1955,381139,"0","0",-119.243612,34.459827,"1"
"12302",5,3,2958,1999,497430,"1","0",-118.732025,34.259753,"1"
"11917",2,2,952,1984,345184,"0","0",-118.897627,34.275978,"1"
"7696",4,4.5,4502,2006,763944,"0","0",-118.7549,34.295878,"2"
"8784",4,3,3346,1988,485168,"0","0",-118.807127,34.195583,"1"
"18494",3,2,1303,1960,65141,"1","0",-118.864353,34.221719,"1"
"17908",3,3,2672,1979,710891,"0","0",-119.280059,34.428046,"2"
"17019",3,2,2018,1980,241349,"0","0",-118.662795,34.269825,"1"
"3945",3,2.5,1184,1996,4e+05,"0","0",-118.790493,34.268763,"1"
"2848",5,4.5,4002,2004,983000,"1","0",-118.70196,34.302421,"2"
"3609",3,2,1434,1964,228709,"0","0",-118.703374,34.293675,"1"
"8228",3,2,1318,1961,100393,"0","0",-119.147884,34.16953,"1"
"13961",3,2,1292,1978,214368,"0","0",-118.992653,34.236127,"1"
"15237",3,2.5,1530,1987,381970,"0","0",-118.840612,34.304082,"1"
"15059",2,1,1144,1965,380485,"0","0",-118.862365,34.181984,"1"
"5265",3,2.5,1347,1998,318306,"0","0",-118.805,34.2297,"1"
"15505",4,2.5,2212,1980,238200,"0","0",-118.729565,34.285798,"1"
"19109",3,2,1976,1959,707000,"1","0",-118.923125,34.372792,"2"
"16954",4,2.5,1804,1966,80673,"0","0",-118.87355,34.204282,"1"
"16835",4,3,2699,1980,676048,"0","0",-119.173371,34.274115,"2"
"14349",4,3.5,3752,1986,1466000,"0","0",-118.792294,34.190342,"2"
"9795",4,1.5,1226,1962,52713,"0","0",-118.768411,34.258884,"1"
"6577",3,3,1560,1994,315653,"0","0",-118.782227,34.177566,"1"
"12344",3,1,1059,1951,434922,"0","0",-119.261028,34.265633,"1"
"363",4,2.5,1835,1979,175587,"0","0",-119.200456,34.189199,"1"
"3163",3,1.5,1295,1980,261069,"0","0",-118.848571,34.295755,"1"
"7796",4,2.5,2431,2006,487000,"0","0",-119.168483,34.245834,"1"
"10156",4,3,2902,1999,800976,"0","0",-118.820548,34.219161,"2"
"675",5,4.5,4360,2006,934000,"0","0",-118.7554,34.296331,"2"
"9837",2,1.5,863,1981,98126,"0","0",-119.175847,34.158693,"1"
"947",3,2.5,1609,1999,518000,"0","0",-119.229014,34.267836,"2"
"567",4,3.5,3770,1999,881000,"0","0",-119.091176,34.242202,"2"
"1258",2,1,1083,1928,333422,"0","0",-119.230119,34.28044,"1"
"9471",2,1,792,1948,135772,"0","0",-119.178285,34.181724,"1"
"154",2,2,1070,1976,299734,"0","0",-118.985402,34.223952,"1"
"19895",4,2,1110,1955,104227,"0","0",-119.158389,34.240602,"1"
"3975",4,3,2586,1978,746298,"1","0",-118.905788,34.186374,"2"
"5166",4,2,2064,1972,641130,"1","0",-118.760599,34.173279,"2"
"6615",3,4,4432,2006,1869520,"1","0",-119.201254,34.457658,"2"
"14076",4,3,2713,1997,535145,"0","0",-118.811673,34.216058,"2"
"908",5,4.5,3257,2001,821000,"0","0",-118.793547,34.236627,"2"
"14426",3,2,1631,1995,701676,"0","0",-118.835194,34.220059,"2"
"16381",4,3,2567,2004,729000,"0","0",-119.008726,34.232395,"2"
"6268",3,2,1264,1960,280494,"0","0",-119.196872,34.182885,"1"
"19299",4,2,1462,1972,297814,"0","0",-118.718457,34.273035,"1"
"7685",4,4.5,4481,2000,1112310,"1","0",-118.830423,34.205147,"2"
"7748",4,3.5,3125,1971,1324312,"0","0",-119.274151,34.26401,"2"
"1401",3,1.5,1189,1973,85804,"0","0",-119.202145,34.186438,"1"
"9009",3,2,1949,2000,446142,"0","0",-119.193055,34.280619,"1"
"16458",4,2,1587,1969,245947,"0","0",-119.153888,34.158698,"1"
"14095",3,1.5,1016,1962,269405,"0","0",-118.862019,34.193264,"1"
"7175",2,2.5,1609,1981,139681,"0","0",-119.215034,34.269771,"1"
"16730",4,3,2312,1980,261084,"0","0",-119.156081,34.178896,"1"
"19332",3,2,1244,1961,52718,"0","0",-118.728305,34.265749,"1"
"5764",4,3,1748,1996,229121,"0","0",-118.791947,34.411029,"1"
"621",3,2,1484,2013,334842,"0","0",-119.173485,34.249196,"1"
"3897",2,2,1056,1985,145594,"0","0",-118.765,34.1819,"1"
"978",4,3,1769,1955,302948,"0","0",-119.187001,34.179788,"1"
"5880",4,3,2367,1979,625000,"1","0",-118.747301,34.287299,"2"
"12010",4,3,1854,1968,546000,"0","0",-119.178071,34.280914,"2"
"13761",2,2,887,1974,245729,"0","0",-118.984246,34.224415,"1"
"19676",4,2,1519,1968,66082,"0","0",-118.907702,34.402387,"1"
"12233",2,1,1129,1954,96555,"0","0",-119.293843,34.420928,"1"
"18262",4,2.5,1732,1992,276994,"0","0",-119.193071,34.192721,"1"
"17975",5,3.5,2610,1999,693939,"1","0",-118.751708,34.191108,"2"
"2193",3,2,1496,1964,326069,"0","0",-119.175826,34.267617,"1"
"11267",4,2.5,1940,1995,314899,"0","0",-119.002559,34.22206,"1"
"10693",4,3,2994,2000,722308,"0","0",-118.677039,34.29742,"2"
"12935",4,2,1725,1961,73739,"0","0",-118.859963,34.223315,"1"
"12127",3,2,1140,1961,56863,"0","0",-118.850869,34.212843,"1"
"6393",2,1,924,1972,157495,"0","0",-118.823104,34.148719,"1"
"1428",2,1,825,1980,174000,"0","0",-119.077679,34.349661,"1"
"12684",2,2,1231,1973,240679,"0","0",-118.824573,34.146218,"1"
"14178",3,4,2845,1991,828579,"0","0",-119.275034,34.266428,"2"
"8516",3,3,2539,1955,679059,"1","0",-119.183793,34.452039,"2"
"9635",5,3,3010,2001,488036,"0","0",-119.162529,34.217678,"1"
"3870",2,2,1042,1996,329955,"0","0",-118.897747,34.265786,"1"
"19378",3,2,1057,1978,207715,"0","0",-119.197553,34.261588,"1"
"13667",3,3,3080,1989,1065000,"1","0",-118.889982,34.241723,"2"
"18664",2,1,981,1954,468866,"0","0",-119.271148,34.263416,"1"
"11997",4,3,2436,1994,485917,"1","0",-118.785481,34.175045,"1"
"6681",4,2.5,1844,1966,89998,"1","0",-118.950786,34.156022,"1"
"15772",5,2,1634,1964,306911,"0","0",-119.02271,34.239957,"1"
"6220",3,2.5,1435,1988,256717,"0","0",-118.807809,34.165034,"1"
"11410",4,2.5,1748,1985,233320,"0","0",-119.162662,34.272276,"1"
"12335",2,2,1056,1985,145383,"0","0",-118.766,34.1817,"1"
"16333",4,2.5,2021,1987,459520,"0","0",-118.836663,34.213685,"1"
"16435",3,2,1960,1978,153903,"0","0",-119.03632,34.229324,"1"
"13383",3,2.5,2269,1925,361997,"0","0",-119.165335,34.238093,"1"
"19352",4,3,2943,2000,550504,"0","0",-118.676762,34.287227,"2"
"10981",3,2,1177,1953,317266,"0","0",-119.18668,34.151289,"1"
"12862",4,2,1880,1978,380061,"1","0",-119.232335,34.453068,"1"
"17001",3,2,1486,1980,434316,"1","0",-118.664867,34.269073,"1"
"10708",3,2.5,2237,1971,109696,"0","0",-119.229752,34.180004,"1"
"10277",3,2,1392,1957,63933,"0","0",-119.219555,34.278943,"1"
"16651",4,2,1630,1964,170248,"0","0",-118.939172,34.179068,"1"
"455",4,3,3032,2002,650048,"1","0",-119.217815,34.267811,"2"
"17978",3,2.5,2295,1962,639938,"0","0",-119.204894,34.292764,"2"
"19533",3,2,1264,1954,213085,"0","0",-119.171142,34.17397,"1"
"15970",4,2,1462,1968,363401,"0","0",-118.732424,34.272686,"1"
"5806",4,2,1719,1970,308658,"0","0",-118.684916,34.270733,"1"
"8114",4,3,2348,1994,331522,"0","0",-119.195534,34.227075,"1"
