"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","cluster_2"
"1",4,2,1625,1948,650314,0,0,1
"2",4,2,1605,2015,541000,0,0,0
"3",2,2,1140,1939,450408,0,0,0
"4",2,1,768,1949,193336,0,0,0
"5",3,2,1735,1924,1248208,1,0,1
"6",4,5,4395,1964,860761,1,0,1
"7",2,1,704,1937,216450,0,0,0
"8",4,2,1336,1955,41971,0,0,0
"9",4,3,1579,1985,137884,0,0,0
"10",2,3,878,1985,523979,0,0,0
"11",2,1,900,1948,40747,0,0,0
"12",2,1,862,1941,297087,0,0,0
"13",4,2,1898,1962,81133,0,0,0
"14",3,2,1659,1955,166847,0,0,0
"15",3,1,1030,1949,338073,0,0,0
"16",2,1,845,1987,230300,0,0,0
"17",3,2,1341,1954,193396,1,0,0
"18",2,1,936,1950,199612,0,0,0
"19",2,1,1095,1947,89116,0,0,0
"20",4,3,1546,1980,273255,0,0,0
"21",4,5,4328,1913,1125660,1,0,1
"22",2,1,1508,1910,539720,0,0,0
"23",4,3,1967,1945,649354,0,0,1
"24",2,2,2125,1971,1650000,1,0,1
"25",3,2,1986,1924,590108,0,0,1
"26",5,3,3660,1923,556802,0,0,0
"27",3,3,1516,1973,685293,1,0,1
"28",6,4,3309,1930,79273,0,0,0
"29",3,1,1234,1947,286528,0,0,0
"30",3,3,2362,1939,582921,1,0,0
"31",5,3,2334,1965,634542,1,0,1
"32",2,2,864,1984,163167,0,0,0
"33",5,2,2331,1921,822379,0,0,1
"34",4,3,2009,1957,495000,0,0,0
"35",2,1,864,1929,115784,0,0,0
"36",2,1,1012,1950,65598,0,0,0
"37",2,3,2471,1940,602525,0,0,1
"38",2,1,796,1973,159152,0,0,0
"39",3,1,1458,1907,303150,0,0,0
"40",4,2,1826,1952,554783,0,0,0
"41",1,1,710,1956,109679,0,0,0
"42",4,4,3876,1987,1270574,1,0,1
"43",1,3,3,1986,175192,0,0,0
"44",2,1,1233,1910,162770,0,0,0
"45",3,2,2304,1961,190278,1,0,0
"46",2,2,1025,1985,384885,0,0,0
"47",2,3,1676,1980,655782,1,0,1
"48",4,2,1403,1982,187312,0,0,0
"49",3,2,1482,1953,198554,0,0,0
"50",5,3,2621,2000,315000,1,0,0
"51",3,2,1772,1985,560223,1,0,0
"52",4,2,1786,2001,268500,0,0,0
"53",2,1,1326,1932,85256,0,0,0
"54",4,3,2775,1924,465652,0,0,0
"55",3,3,1733,1958,215037,1,0,0
"56",1,2,751,1972,354793,0,0,0
"57",2,2,1139,1978,107255,1,0,0
"58",4,2,1301,1959,380733,0,0,0
"59",5,3,2821,1962,158391,1,0,0
"60",4,3,2621,2004,557875,0,0,0
"61",4,2,1556,1961,324336,0,0,0
"62",3,2,1284,1951,406099,0,0,0
"63",2,2,814,1905,575759,0,0,0
"64",3,3,1753,1959,133843,0,0,0
"65",4,4,2036,1950,185442,0,0,0
"66",1,2,885,1971,565000,0,0,0
"67",4,3,1765,1927,747654,0,0,1
"68",6,3,2896,1924,210323,0,0,0
"69",3,2,1804,1929,75167,0,0,0
"70",2,2,1296,1971,62054,1,0,0
"71",3,2,1610,1961,89213,0,0,0
"72",3,1,1276,1950,346902,0,0,0
"73",2,2,794,1973,104602,1,0,0
"74",4,3,1998,1957,674000,0,0,1
"75",1,1,820,1938,174332,0,0,0
"76",3,2,1666,1950,414130,1,0,0
"77",4,3,1763,1946,182076,0,0,0
"78",4,3,3106,1986,930000,1,0,1
"79",2,2,1420,1976,469144,1,0,0
"80",1,2,1384,1925,218500,0,0,0
"81",2,3,1420,1988,504000,0,0,0
"82",4,3,3000,1983,403222,0,0,0
"83",3,2,1690,1996,216176,0,0,0
"84",6,3,2913,1954,172362,0,0,0
"85",4,3,2513,2007,405500,0,0,0
"86",3,2,1289,1973,254916,1,0,0
"87",3,3,1498,1955,265603,0,0,0
"88",1,1,685,1961,380947,1,0,0
"89",4,2,2029,1906,600285,0,0,1
"90",3,2,1260,1959,317268,1,0,0
"91",2,1,1032,1950,275658,0,0,0
"92",3,3,1860,1979,307347,0,0,0
"93",3,3,1227,1987,324271,0,0,0
"94",4,2,1713,1961,490678,0,0,0
"95",3,2,1547,1949,366000,1,0,0
"96",3,2,2488,1959,834927,0,0,1
"97",1,2,1227,1970,80720,1,0,0
"98",3,1,1570,1948,194663,1,0,0
