"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","cluster_2"
"1",4,2,1348,1955,376187,0,0,1
"2",4,4.5,3548,1992,1602064,1,1,0
"3",4,2,1635,1969,264097,0,0,1
"4",2,2.5,1404,1974,324568,0,0,1
"5",4,3,2592,1976,748411,0,0,0
"6",3,2,1404,1962,440774,0,1,1
"7",3,3,1906,1989,698492,0,0,0
"8",4,2.5,1801,1974,106085,1,0,1
"9",4,2,1689,1965,81404,0,0,1
"10",2,1,773,1990,194928,0,0,1
"11",2,1.5,1000,1964,246974,0,0,1
"12",4,2,1637,1975,380589,0,0,1
"13",5,3.5,3870,2004,1220000,1,1,0
"14",3,2,1621,1956,123487,0,0,1
"15",3,2,1108,1926,275677,0,0,1
"16",3,1.5,1219,1959,224793,0,0,1
"17",3,2.5,2452,1974,866422,0,0,0
"18",2,2,978,1986,174860,0,0,1
"19",4,2.5,1952,1975,588506,0,1,1
"20",2,1,659,1948,230417,0,0,1
"21",1,1,729,1998,151767,0,0,1
"22",3,3,2411,1992,791484,0,0,0
"23",3,2,1443,1965,230423,0,0,1
"24",3,2,1242,1955,76506,0,0,1
"25",4,3,2418,2013,755035,0,0,0
"26",4,2,1668,1961,66324,0,0,1
"27",3,3,2649,1976,534487,0,0,1
"28",2,2.5,2301,1995,1231250,0,0,0
"29",4,2,1526,1956,414213,0,0,1
"30",4,2,1446,1963,286444,0,0,1
"31",3,3,2756,1990,478158,0,0,1
"32",3,2,1574,1976,128857,1,0,1
"33",3,2,1320,1968,501083,0,0,1
"34",2,2,1764,1925,577201,0,0,1
"35",3,3,2879,1989,509858,0,0,1
"36",2,1.5,1239,1952,257064,0,0,1
"37",4,2.5,2045,1991,653153,0,0,0
"38",5,3,3014,1979,495342,0,1,1
"39",3,2.5,1556,1997,512589,0,0,1
"40",4,2.5,2435,1977,387567,1,0,1
"41",5,4.5,3786,2000,1806434,0,0,0
"42",2,2,989,1970,168609,0,0,1
"43",3,2,1217,1969,339933,1,1,1
"44",3,3,2722,1976,832916,1,1,0
"45",3,2,2378,1974,571168,1,1,1
"46",2,2,888,1989,228122,0,0,1
"47",3,2.5,2213,1998,519337,0,0,1
"48",4,2.5,2589,1964,727959,0,0,0
"49",2,2,843,1993,260815,0,0,1
"50",2,1.5,917,1973,178919,0,0,1
"51",3,2.5,1428,1989,61285,0,0,1
"52",3,4,2838,2000,907441,0,0,0
"53",3,2.5,1566,1982,428435,0,0,1
"54",4,3.5,4976,2006,1625000,1,1,0
"55",3,1.5,1653,1957,514072,0,0,1
"56",4,3.5,3800,1990,975729,1,1,0
"57",3,3,2588,2002,754289,0,0,0
"58",3,2,1555,1986,329508,0,0,1
"59",3,3,2664,1989,734265,1,1,0
"60",2,2,972,1968,185681,0,0,1
"61",4,2.5,2145,2003,510725,0,0,1
"62",3,2,1408,1968,492782,0,0,1
"63",2,2,1130,1988,290161,0,0,1
"64",3,2,2040,1973,408329,0,0,1
"65",3,2.5,2427,2006,687234,0,0,0
"66",5,3.5,4811,1983,1775478,1,0,0
"67",3,2,1102,1963,135040,0,0,1
"68",3,2.5,1529,1983,351037,0,0,1
"69",4,3,2244,1965,331022,1,0,1
"70",2,1,766,1943,189394,0,0,1
"71",4,3,3411,1973,146762,1,0,1
"72",2,3,1588,1989,344997,0,0,1
"73",3,3,2023,1977,371363,0,0,1
"74",3,2,1437,1960,414353,0,0,1
"75",4,2.5,2630,1983,1040235,1,1,0
"76",3,2,1533,1953,440330,0,0,1
"77",3,2,1549,1962,230272,0,0,1
"78",3,2.5,1586,1974,234613,1,0,1
"79",4,3,2276,1976,128167,0,0,1
"80",2,2,1675,1960,236291,0,0,1
"81",3,2,1040,1971,111533,0,0,1
"82",3,2,1854,1959,870000,1,0,0
"83",3,3,2011,1957,118058,1,0,1
"84",5,2,2477,1963,418262,1,0,1
"85",3,2,1331,1955,272647,0,0,1
"86",4,2.5,2897,1969,382475,1,0,1
"87",3,1.5,1261,1963,235000,0,0,1
"88",2,2,1206,1985,197700,0,0,1
