"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","cluster_2"
"1",3,2,1239,1965,495322,0,0,0
"2",3,3.5,2818,1980,1174000,0,0,1
"3",5,4,4015,2003,904411,0,0,1
"4",2,2,1029,1978,190509,0,0,0
"5",4,2.5,2868,1969,140049,0,0,0
"6",3,2.5,2012,1976,514070,1,0,1
"7",3,2,1228,1952,249341,0,0,0
"8",3,2,1657,1986,586000,0,0,1
"9",3,1,1697,1910,360748,0,0,0
"10",4,2,1712,1961,176324,0,0,0
"11",3,2,1498,1974,371313,0,0,0
"12",4,2.5,2211,1987,304413,0,0,0
"13",3,2.5,1672,1979,248852,0,0,0
"14",3,2,1331,1964,187313,0,0,0
"15",2,2,1319,1976,449755,0,0,0
"16",2,2,1383,1984,398677,0,0,0
"17",4,3.5,4009,1997,884667,0,0,1
"18",3,2,1101,1973,155267,0,0,0
"19",4,2.5,1887,1969,557040,0,0,1
"20",6,2,1470,1965,543904,0,0,1
"21",4,2.5,1602,1964,479000,0,0,0
"22",4,2.5,1937,1981,317716,1,0,0
"23",3,2.5,1332,1988,483000,0,0,0
"24",2,2,1740,1954,156582,0,0,0
"25",4,3,1705,2007,416087,0,0,0
"26",4,3,2407,2000,602000,0,0,1
"27",5,4,2917,1998,751284,0,0,1
"28",5,2.5,2232,1965,446546,0,0,0
"29",3,2.5,1316,1980,272000,0,0,0
"30",3,2,1407,1971,291895,0,0,0
"31",3,2,1414,1972,680000,0,0,1
"32",2,1,1044,1974,670000,0,0,1
"33",4,2.5,2206,1954,272618,0,0,0
"34",4,3,2454,1961,305251,0,0,0
"35",3,2.5,1544,2006,431000,0,0,0
"36",3,2,1613,1966,163134,0,0,0
"37",5,2,1691,1973,351730,0,0,0
"38",3,2,1129,1984,214206,0,0,0
"39",5,4.5,4157,1998,875692,0,0,1
"40",4,3,2150,1977,690763,0,0,1
"41",5,3,2899,1968,624536,0,0,1
"42",2,2.5,1550,1996,651348,0,0,1
"43",3,2.5,2098,2008,605601,0,0,1
"44",4,2,1667,1955,307905,0,0,0
"45",4,2,2125,1976,174282,0,0,0
"46",3,3,3123,1996,1182578,1,0,1
"47",4,3.5,3627,2006,811276,0,0,1
"48",3,2,1534,1982,467618,0,0,0
"49",4,2,1885,1976,105114,0,0,0
"50",3,1.5,2918,2004,954355,0,0,1
"51",3,2,1653,1977,414000,0,0,0
"52",2,1,748,1953,369277,0,0,0
"53",4,3,1554,1950,211395,0,0,0
"54",2,2,1332,1990,268291,0,0,0
"55",4,3,2123,1996,391980,0,0,0
"56",3,2,1459,1965,156769,0,0,0
"57",4,2,1431,1979,271304,0,0,0
"58",4,2,1534,1961,89190,1,0,0
"59",4,2.5,2224,2004,482234,0,0,0
"60",3,2,1507,1977,234366,0,0,0
"61",3,2.5,1573,1995,443790,0,0,0
"62",3,2,1760,1969,489000,0,0,0
"63",2,2,1056,1985,145269,0,0,0
"64",1,1,697,1985,134847,0,0,0
"65",3,2,1297,1961,148722,0,0,0
"66",4,2.5,2251,1973,153724,1,0,0
